sequence_no	protein_a	a_id	a_taxid	protein_b	b_id	b_taxid	negative_relation	assay_normalized	assay_reported_original	evidence_text_en	previous_sentence_en	next_sentence_en	pmid	pmcid	article_title	best_evidence_id	pair2_key	claim_id	candidate_id	rule_tier_v2	canonical_pair_label_v2	experimental_object_scope_v2	rule_reasons_v2	rule_tags_v2	model_is_experimental	model_is_direct_binding_assay	positive_conflict_scope	mentions_construct	mentions_isoform	mentions_positive_control	mentions_purified_components	rule_scope_signal_v2	rule_context_signal_v2	selection_score
92	FBXO47	72973	10090	SUN1	77053	10090	no_binding	coIP	co-immunoprecipitation	Results of co-IP analysis indicated that FBXO47 bound TRF1 and TRF2 directly but did not bind SUN1 (Figure 6B).	To determine whether FBXO47 regulates the expression of TRF1/TRF2 and SUN1 directly, we performed co-immunoprecipitation (co-IP) with testis lysates from these Fbxo47-flag knock-in mice using an anti-FLAG antibody.		31724724	PMC7145685	FBXO47 regulates telomere-inner nuclear envelope integration by stabilizing TRF2 during meiosis	CLAIM:000289059:0-1	PAIR2:GENE:72973|GENE:77053	CLAIM:000289059	9c5153337b2c0b3eb35469382fc08da0386e3fb6	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	131.0
93	TRIM21	6737	9606	USP14	9097	9606	no_binding	coIP	Co-immunoprecipitation	Co-IP showed that USP14 did not interact with TRIM21 (Supplementary Fig.	3k).	3g).	36163134	PMC9513055	USP14 promotes tryptophan metabolism and immune suppression by stabilizing IDO1 in colorectal cancer	CLAIM:000013799:0-1	PAIR2:GENE:6737|GENE:9097	CLAIM:000013799	6e8e10ead736140fd878f2d66b1aef52c0e3c793	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	131.0
94	PRMT3	10196	9606	IDO1	3620	9606	no_binding	coIP	co-immunoprecipitation	A, Co-IP experiments showed that PRMT3 does not directly interact with IDO1.	PRMT3 regulates IDO1 transcription through TFAP2A.	B, Predicted transcription factors of IDO1 intersected with PRMT3-interacting proteins.	41129671	PMC12809119	PRMT3 Drives IDO1-Dependent Radioresistance and Immunosuppression by Promoting Kynurenine Metabolism in Non-Small Cell Lung Cancer	CLAIM:000109287:0-1	PAIR2:GENE:10196|GENE:3620	CLAIM:000109287	526c56071bd0a56a3017df202b77b985689b739d	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	131.0
95	FBXW7	55294	9606	CD47	961	9606	no_binding	coIP	co-immunoprecipitation	However, co-IP results suggested that there was no binding between CD47 and FBXW7 (Figure S6K).	Therefore, we speculated that CD47 stabilized ENO1 by inhibiting its ubiquitylation mediated by FBXW7.	Furthermore, the expression of FBXW7 remained unaltered following CD47 overexpression in HCT8 and DLD1 cells (Figure S6L).	32226539	PMC7086360	Tumor-intrinsic CD47 signal regulates glycolysis and promotes colorectal cancer cell growth and metastasis	CLAIM:000274018:0-1	PAIR2:GENE:55294|GENE:961	CLAIM:000274018	b754674808781d5364fb301e7de1ae207423bb03	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	131.0
96	NS1	10625	9606	ZC3H15	55854	11320	no_binding	coIP	co-immunoprecipitation	Although PPP1R10 and ZC3H15 have high HVPPI score of 0.639 and 0.475 respectively, they did not bind to NS1 in this assay.	They are MKRN1, RC3H1, ZC3H8 and ZC3H18.		40287742	PMC12032803	Identification of RC3H1 as antiviral host factor binding to the non-structural protein 1 of Influenza A virus via a 3-stage computational pipeline and cell-based analysis	CLAIM:000109946:0-1	PAIR2:GENE:10625|GENE:55854	CLAIM:000109946	c15011e18c04faa93f2013be03c254a690c222b1	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	131.0
97	CHD4	1108	10090	KLHL15	80311		no_binding	coIP	Co-IP	Co-IP assay showed that CHD4 did not interact with KLHL15 (Fig.	Because the E-rich motif is also necessary for VGLL3-CHD4 association, we wonder whether CHD4 mediates the VGLL3-KLHL15 association.	4K), and the depletion of CHD4 did not affect VGLL3-KLHL15 association (Fig.	39383226	PMC11463272	VGLL3 modulates chemosensitivity through promoting DNA double-strand break repair	CLAIM:000033964:0-1	PAIR2:GENE:1108|GENE:80311	CLAIM:000033964	4a0bc953410b86b0f487d4115f517b621a065276	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	131.0
98	CPK6	816235	3702	OST1	829541	3702	no_interaction	Y2H	yeast two-hybrid	Y2H experiments were performed to show that OST1 and CPK6 do not interact with each other.		This negative result should be confirmed by alternative approaches.	26192964	PMC4507714	Calcium specificity signaling mechanisms in abscisic acid signal transduction in Arabidopsis guard cells	CLAIM:000234453:0-1	PAIR2:GENE:816235|GENE:829541	CLAIM:000234453	2b073e37aaa1b39acc8686e227639401e4b23e9c	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	130.0
99	SETD2	29072	9606	ZNF207	7756	10090	no_interaction	Y2H	yeast two-hybrid	ZNF207 and SETD2 were possible counterparts of OsSUF4 and SDG725 in humans; however, no interaction between SETD2 and ZNF207 was detected in a yeast two-hybrid assay (Supplementary Fig.	1).	13).	31278262	PMC6611904	The transcription factor OsSUF4 interacts with SDG725 in promoting H3K36me3 establishment	CLAIM:000256869:0-1	PAIR2:GENE:29072|GENE:7756	CLAIM:000256869	17f1b78a3c711ca2c05e18cf451f3cd9fc9b9194	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	130.0
100	PKCdelta	18753	10090	GLAST	20512	10090	no_interaction	coIP	co-immunoprecipitation	Furthermore, no interaction was observed between PKCalpha or PKCdelta and GLAST.	7).		22708868	PMC3399925	MECHANISM OF MN(II) - MEDIATED DYSREGULATION OF GLUTAMINE - GLUTAMATE CYCLE: FOCUS ON GLUTAMATE TURNOVER	CLAIM:000231382:0-1	PAIR2:GENE:18753|GENE:20512	CLAIM:000231382	158ceec5bab8329b4d890344b8c3e462d06e24ed	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	1	0	0	0	0	130.0
101	HPS1	192236	10090	HPS4	89781	9606	no_interaction	Y2H	yeast two-hybrid	HPS1 and HPS4 do not interact directly in a yeast two-hybrid system, although HPS4 interacts with itself.	HPS4 protein seems to be necessary for stabilization of HPS1, and the HPS1 and HPS4 proteins co-immunoprecipitate, indicating that they are in a complex.	In a partially purified vesicular/organellar fraction, HPS1 and HPS4 are both components of a complex with a molecular mass of approximately 500 kDa, termed BLOC-3.	12663659		The Hermansky-Pudlak syndrome 1 (HPS1) and HPS4 proteins are components of two complexes, BLOC-3 and BLOC-4, involved in the biogenesis of lysosome-related organelles.	CLAIM:000103149:0-1	PAIR2:GENE:192236|GENE:89781	CLAIM:000103149	a7662c8ce2a3a84736dd72b00cd5ef5d4436d789	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	130.0
102	COPS5	100767044	10090	SPAG6	381350	10090	no_interaction	Y2H	yeast two-hybrid	However, SPAG6 did not interact with COPS5 in our direct yeast two-hybrid assay.	The protein was identified to be a binding partner of SPAG6L.	However, the two SPAG6 proteins both bound to TAC1.	35159146	PMC8834003	The Ancient and Evolved Mouse Sperm-Associated Antigen 6 Genes Have Different Biologic Functions In Vivo	CLAIM:000046086:0-1	PAIR2:GENE:100767044|GENE:381350	CLAIM:000046086	6ae77c66e0deb9ca6bc549bff3e533ba9eadcfcf	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	130.0
103	eEF2	1938	9606	eIF5A	1984	9606	no_interaction	Y2H	yeast two-hybrid	A two-hybrid assay was used to test for a physical interaction between the yeast factors eIF5A and eEF2, but revealed no direct interaction.	Guided by that evidence, we investigated the functional interaction between these two translation factors.	The absence of direct physical interaction was expected since the binding sites for eIF5A and eEF2 are structurally distant in the ribosome.	27115996	PMC4845985	Evidence for a Negative Cooperativity between eIF5A and eEF2 on Binding to the Ribosome	CLAIM:000201650:0-1	PAIR2:GENE:1938|GENE:1984	CLAIM:000201650	433686f4f475d7b65299360ee2d21344e8797054	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	130.0
104	PKP3	11187	9606	eIF4A1	1973	9606	no_interaction	Y2H	yeast two-hybrid	Because PKP3 did not interact with eIF4A1 in our yeast two-hybrid assay, the mechanism of its function in translation may differ from that of PKP1.	4 B).	In coimmunoprecipitation assays, PKP3 was reported to complex with poly(A)-binding protein, a component of the initiation complex which stimulates eIF4F activity.	20156963	PMC2828926	Plakophilin 1 stimulates translation by promoting eIF4A1 activity	CLAIM:000123151:0-1	PAIR2:GENE:11187|GENE:1973	CLAIM:000123151	97094fa163f90a463ed693cbddb036dac846ea91	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	130.0
105	CEPR2	843550	358	RSL1	851061	4932	no_interaction	Y2H	yeast two-hybrid	However, no interaction between CEPR2 and RSL1 was found in yeast or N. benthamiana (Fig.	6A).	6B, D, E).	31232446	PMC6793440	CEPR2 phosphorylates and accelerates the degradation of PYR/PYLs in Arabidopsis	CLAIM:000185266:0-1	PAIR2:GENE:843550|GENE:851061	CLAIM:000185266	9106c82a337e1f157f5793339930fd1b2857c9a1	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	130.0
106	FCA	827323	3702	DCP5	839152	3702	no_interaction	Y2H	yeast two-hybrid	In contrast to our expectation, FCA failed to interact with SSF or DCP5 in yeast or in Arabidopsis protoplasts (Supplemental Fig.	Accordingly, we tested the DCP5-FCA interaction by performing Y2H and BiFC assays.	S2).	37220754	PMC10473201	The P-body component DECAPPING5 and the floral repressor SISTER OF FCA regulate FLOWERING LOCUS C transcription in Arabidopsis	CLAIM:000281301:0-1	PAIR2:GENE:827323|GENE:839152	CLAIM:000281301	c5daec2bd7ccf12894a0b70ddda09ca3881de215	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	130.0
107	Gas1	14451	10090	Ptch1	19206	10090	no_interaction	coIP	co-immunoprecipitation	Co-IP data demonstrated that Gas1 does not interact with Ptch1 although Shh remains bound to Gas1 (Fig.		7a), thus Gas1/Shh explicitly interacts with Ptch2 even in the presence of Ptch1 and does not compete with Boc/Shh for Ptch1 binding.	32332736	PMC7181751	Ptch2/Gas1 and Ptch1/Boc differentially regulate Hedgehog signalling in murine primordial germ cell migration	CLAIM:000224097:0-1	PAIR2:GENE:14451|GENE:19206	CLAIM:000224097	345a557b9824c4bd4a70c3b6921a168e25014f8f	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	129.0
108	KAT2A	2648	9606	HBx	944566	10407	no_interaction	coIP	unknown	However, no interaction between KAT2A and HBx was observed (Supplementary Figure 4A).	The Co-IP results showed that ectopically expressed KAT2A interacted with HBc (Figure 5A).	In addition, HBc was mainly located in the nucleus and partially colocalised with KAT2A in HBV infected HepG2-NTCP cells (Figure 4A).	35140694	PMC8818952	KAT2A Promotes Hepatitis B Virus Transcription and Replication Through Epigenetic Regulation of cccDNA Minichromosome	CLAIM:000338366:0-1	PAIR2:GENE:2648|GENE:944566	CLAIM:000338366	3a1d940e659e60a5b31b5fcddfc55cd8cf1c3e05	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	129.0
109	HIF-1alpha	3091	9606	MCM4	4173	9606	no_interaction	coIP	co-immunoprecipitation	In co-IP assays MCM2 and MCM5 were also found to interact with HIF-1alpha, whereas no interaction with MCM4 or MCM6 was detected (Figure 5A).	We examined whether other MCM proteins regulate HIF-1.	Overexpression of MCM2 and MCM5, but not MCM4 or MCM6, inhibited HIF transcriptional activity induced by hypoxia (Figure 5B) or HIF-2alpha overexpression (Figure 5C).	21658608	PMC3131976	MCM Proteins Are Negative Regulators of Hypoxia-Inducible Factor 1	CLAIM:000066015:0-1	PAIR2:GENE:3091|GENE:4173	CLAIM:000066015	f0a0b56bc842468f3c2c9dc809e2c33fa85c1e05	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	129.0
110	Sen1	10934	9606	Rap1	5906	9606	no_interaction	coIP	Co-IP	Moreover, the Co-IP assay showed that Sen1 had no interaction with Rif1 or Rap1 (Supplementary Fig.	S5b).	S5c), further supporting that Glc7 forms two distinct complexes to dephosphorylate H3T11 at different chromatin regions.	37433812	PMC10336126	Glc7/PP1 dephosphorylates histone H3T11 to regulate autophagy and telomere silencing in response to nutrient availability	CLAIM:000108895:0-1	PAIR2:GENE:10934|GENE:5906	CLAIM:000108895	90d3261f4cc7dea785b2f48fd67b83bd1277fcfb	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	129.0
111	ACE2	59272	9606	FXR	9971	9606	no_interaction	coIP	Co-IP	Co-IP results showed no interaction between FXR and ACE2 proteins, suggesting that PEBL's antiviral effects do not involve direct inhibition of their binding (Fig.	FXR antibodies were used to pull down the complex, with ACE2 overexpression alone and a carrier as controls.	6I).	40324631	PMC12869212	PEBL, a component-based Chinese medicine, reduces virus-induced acute lung injury by targeting FXR to decrease ACE2 levels	CLAIM:000315564:0-1	PAIR2:GENE:59272|GENE:9971	CLAIM:000315564	594197d102eea8066d14effbb98c50c20eb2ec30	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	129.0
112	Sen1	10934	9606	Rif1	55183	9606	no_interaction	coIP	Co-IP	Moreover, the Co-IP assay showed that Sen1 had no interaction with Rif1 or Rap1 (Supplementary Fig.	S5b).	S5c), further supporting that Glc7 forms two distinct complexes to dephosphorylate H3T11 at different chromatin regions.	37433812	PMC10336126	Glc7/PP1 dephosphorylates histone H3T11 to regulate autophagy and telomere silencing in response to nutrient availability	CLAIM:000108894:0-1	PAIR2:GENE:10934|GENE:55183	CLAIM:000108894	a3dd6cc531d3a3dd776423f4160731db7cbccf8a	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	129.0
113	ABHD17C	58489	9606	DCAF10	79269	9606	no_interaction	coIP	co-immunoprecipitation	I) IP assay results showing no interaction between ABHD17C and DCAF10.	Recombinant DCAF10 and ABHD17C were used as controls.	Silencing ABHD17C reduced ALOX15B-DCAF10 interactions (left), whereas downregulating DCAF10 did not affect ALOX15B-ABHD17C interactions (right).	40569151	PMC12463027	KRAS/ABHD17C/ALOX15B Axis Promotes Pancreatic Cancer Progression via Ferroptosis Evasion	CLAIM:000211771:0-1	PAIR2:GENE:58489|GENE:79269	CLAIM:000211771	bb9a7eac21b5a8b703977c11033b58a404538328	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	129.0
114	FAM19A5	25817	10090	PTPRF	5792	9606	no_interaction	coIP	unknown	However, no interaction was observed between PTPRF and FAM19A5 (Fig.	Co-IP experiments using HEK293 cells expressing PTPRF and LRRC4B confirmed the interaction between these two molecules.	1E).	40691577	PMC12281766	Inhibition of FAM19A5 reverses synaptic loss and cognitive decline in mouse models of Alzheimer's disease	CLAIM:000171625:0-1	PAIR2:GENE:25817|GENE:5792	CLAIM:000171625	4a5e93f983e8a4ebc940c7f8868742ff01d3372c	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	129.0
115	UBXN3B	23197	9606	MUL1	68350	10090	no_interaction	coIP	unknown	We however observed no interaction between MUL1 and UBXN3B.	We performed co-immunoprecipitation with MUL1 and UBXN3B overexpression in HEK293 cells to see if UBXN3B also regulated MUL1-STING interaction.	These data suggest that UBXN3B specifically regulates STING-TRIM56 interaction.	29899553	PMC5998066	UBXN3B positively regulates STING-mediated antiviral immune responses	CLAIM:000156357:0-1	PAIR2:GENE:23197|GENE:68350	CLAIM:000156357	0b0ab19c9cb7f4d25dea38b9167aca2f9df64805	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	129.0
116	TRIM35	23087	10090	ABTB1	80325	10090	no_interaction	coIP	co-IP	(C) ABTB1 does not interact with TRIM35 as assessed in a co-IP assay.	HEK293T cells were transfected with plasmids expressing Myc-TRIM4beta and gradually increasing amounts of Flag-ABTB1; the expression of TRIM4beta and ABTB1 was determined by western blotting.	HEK293T cells were transfected individually or in combination with plasmids expressing Flag-ABTB1 and V5-TRIM35.	37823597	PMC10623896	ABTB1 facilitates the replication of influenza A virus by counteracting TRIM4-mediated degradation of viral NP protein	CLAIM:000213198:0-1	PAIR2:GENE:23087|GENE:80325	CLAIM:000213198	2a919a00abe0f02bd7c06bfe1ef2d1d1b57bbf07	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay	negative_control	1	1	none_detected	1	0	0	0	0	0	129.0
117	CDX2	1045	10090	OLFM4	10562	9606	no_interaction	coIP	unknown	However, no interaction between OLFM4 and CDX2 was observed (Figure 2G).	Further, we performed Co-IP assays using protein extracted from GES-1 cells and verified that OLFM4 directly interacted with NOD1.	The results certified that OLFM4 induces CDX2 by interacting with NOD1, rather than activating CDX2 directly.	39072182	PMC11271767	Weiwei Decoction alleviates gastric intestinal metaplasia through the olfactomedin 4/nucleotide-binding oligomerization domain 1/caudal-type homeobox gene 2 signaling pathway	CLAIM:000213082:0-1	PAIR2:GENE:1045|GENE:10562	CLAIM:000213082	45af72ade4e28d273473b3b86b96b3200df707eb	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	129.0
118	HIF-1alpha	3091	9606	MCM6	4175	9606	no_interaction	coIP	co-immunoprecipitation	In co-IP assays MCM2 and MCM5 were also found to interact with HIF-1alpha, whereas no interaction with MCM4 or MCM6 was detected (Figure 5A).	We examined whether other MCM proteins regulate HIF-1.	Overexpression of MCM2 and MCM5, but not MCM4 or MCM6, inhibited HIF transcriptional activity induced by hypoxia (Figure 5B) or HIF-2alpha overexpression (Figure 5C).	21658608	PMC3131976	MCM Proteins Are Negative Regulators of Hypoxia-Inducible Factor 1	CLAIM:000066016:0-1	PAIR2:GENE:3091|GENE:4175	CLAIM:000066016	a9a0f09e43426c3c6acab4cb24f99cb0a37774aa	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	129.0
119	BAP31	10134	9606	NCT	23385	10090	no_interaction	coIP	pull down	Other retrieval proteins like BAP31 and the KDEL receptor did not interact with NCT, underscoring the specificity of the pull down.	Although only little hRer1p coimmunoprecipitated from CHAPS extracts, these levels increased dramatically in Triton X-100 extracts, i.e., under conditions that disrupt the interaction between gamma-secretase components.	In a reciprocal experiment, anti-hRer1p pAb pulled down small amounts of endogenous immature NCT from Triton X-100 HeLa and mouse embryonic fibroblast (MEF) extracts (Fig.	17325205	PMC2064021	Rer1p competes with APH-1 for binding to nicastrin and regulates gamma-secretase complex assembly in the early secretory pathway	CLAIM:000101234:0-1	PAIR2:GENE:10134|GENE:23385	CLAIM:000101234	5fe916be44ccfbd03d9884b9d773c4c89137dd37	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	129.0
120	JAK2	3717	9606	GP73	51280	9606	no_interaction	coIP	co-immunoprecipitation	Interestingly, the co-immunoprecipitation (co-IP) experiment showed no interaction between GP73 and JAK2 (Fig.		5A and Fig.	38939041	PMC11208919	Integrating Single-Cell and Spatial Transcriptomics to Uncover and Elucidate GP73-Mediated Pro-Angiogenic Regulatory Networks in Hepatocellular Carcinoma	CLAIM:000198938:0-1	PAIR2:GENE:3717|GENE:51280	CLAIM:000198938	4b69d8d8e4007304536227a27aa15e62d7b0c59e	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	129.0
121	LRRC15	131578	10090	CD248	57124	4932	no_binding	SPR	BLI	Consistent with this result, no binding was observed between LRRC15 and CD248 recombinant proteins when the interaction was analyzed by either BLI (Fig.	S6C), which contained the LRRC15 ectodomain.	4C) or surface plasmon resonance, even when experimental conditions to maximize sensitivity of detection were employed (SI Appendix, Fig.	34531301	PMC8488672	A membrane protein display platform for receptor interactome discovery	CLAIM:000340723:0-1	PAIR2:GENE:131578|GENE:57124	CLAIM:000340723	fec86fa86beb45a5c7b773564eaf84e0a09376ba	SCOPED_NEGATIVE	not_applicable	construct_variant_domain_specific	negative_is_construct_variant_domain_or_isoform_scoped	purified_components;negative_control	1	1	none_detected	1	0	0	1	1	0	126.0
122	Kek1	34688	7227	Fili	5740472	7227	no_binding	SPR	SPR	We observed no binding responses for Kek1 and Ptp10D extracellular domains flowing on Fili and Toll2 channels, respectively.	Biotinylated Fili and Toll2 extracellular domains were captured on a Streptavidin sensor chip in a Biacore T200 system (Cytiva) running a buffer containing 10 mM HEPES pH 7.2, 150 mM NaCl and 0.05% Tween-20.		40060423	PMC11888401	Repulsive interactions instruct synaptic partner matching in an olfactory circuit	CLAIM:000036097:0-1	PAIR2:GENE:34688|GENE:5740472	CLAIM:000036097	e7d7fb10d508708007b3997a38188505db08b0e0	SCOPED_NEGATIVE	not_applicable	construct_variant_domain_specific	negative_is_construct_variant_domain_or_isoform_scoped	purified_components	1	1	none_detected	1	0	0	1	1	0	126.0
123	CTDSPL	10217	10090	RB1	5925	9606	no_interaction	SPR	co-immunoprecipitation	However, in our co-immunoprecipitation assay, no interaction between CTDSPL and RB1 was found in OCM1a cell line (Additional file 1).	It showed a new method called surface plasmon resonance (SPR) to detect the direct interaction.	Previous studies showed that cyclic phosphorylation/dephosphorylation of the pRb protein plays an important role in decreasing ppRb levels, ultimately blocks the G1/S progression.	29382357	PMC5791374	The miR-181 family promotes cell cycle by targeting CTDSPL, a phosphatase-like tumor suppressor in uveal melanoma	CLAIM:000160208:0-1	PAIR2:GENE:10217|GENE:5925	CLAIM:000160208	f8421c24c4c535422ce26008f42d954d3c329449	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative		1	1	none_detected	0	0	0	0	0	0	126.0
124	Ptp10D	32115	7227	Toll2	37277	7227	no_binding	SPR	SPR	We observed no binding responses for Kek1 and Ptp10D extracellular domains flowing on Fili and Toll2 channels, respectively.	Biotinylated Fili and Toll2 extracellular domains were captured on a Streptavidin sensor chip in a Biacore T200 system (Cytiva) running a buffer containing 10 mM HEPES pH 7.2, 150 mM NaCl and 0.05% Tween-20.		40060423	PMC11888401	Repulsive interactions instruct synaptic partner matching in an olfactory circuit	CLAIM:000036100:0-1	PAIR2:GENE:32115|GENE:37277	CLAIM:000036100	ef66eb45c00f749ef36cee2d02044e62bae1e141	SCOPED_NEGATIVE	not_applicable	construct_variant_domain_specific	negative_is_construct_variant_domain_or_isoform_scoped	purified_components	1	1	none_detected	1	0	0	1	1	0	126.0
125	Ank-N5	43770	10090	Dif	7124	9606	no_binding	SPR	SPR	Our results indicated that each Ank and IkappaB bound the three Rel protein homodimers we assayed with the exception of Ank-N5, which did not bind Dif (Table 1, Figure 2).	We then generated sensograms by subtracting the response of a reference cell with no IkappaB from the response of the cell with the immobilized IkappaB.	The strongest binding interaction we measured was between Cactus and Dif with a Kd of 110 nM, (Table 1).	22654665	PMC3359993	Polydnavirus Ank Proteins Bind NF-kappaB Homodimers and Inhibit Processing of Relish	CLAIM:000287056:0-1	PAIR2:GENE:43770|GENE:7124	CLAIM:000287056	f30821b52bf1a8d6e74182b051474fb4552f904a	REVIEW_ENTITY_MAPPING	uncertain	canonical_possible	entity_mapping_flag		1	1	none_detected	1	0	0	0	0	0	125.0
126	PGRN	2896	9606	AXL	558	9606	no_interaction	SPR	surface plasmon resonance	C, D We found no interaction of PGRN over a wide range of concentrations with either MERTK or AXL by surface plasmon resonance (SPR).	B While there is no baseline difference in AXL mRNA expression in untreated WT or GRN-/- microglia (Sidak's multiple comparison test p = 0.91), 100 nM exogenous progranulin significantly decreased AXL RNA expression in GRN-/- but not WT human induced microglia (Sidak's multiple comparison test p < 0.05).	E, F As controls, we show that Gas6, a known binder of MerTK and Axl, binds these receptors with 27.7 nM and 193 pM affinities respectively and theoretical Rmax of 135 RU.	40596721	PMC12218935	Opposing role of phagocytic receptors MERTK and AXL in Progranulin deficient FTD	CLAIM:000072660:0-1	PAIR2:GENE:2896|GENE:558	CLAIM:000072660	b23f0001bf9077647b5116c22cf6d7dc076a59e5	SCOPED_NEGATIVE	not_applicable	construct_variant_domain_specific	negative_is_construct_variant_domain_or_isoform_scoped	positive_control	1	1	none_detected	1	0	1	0	1	0	124.0
127	MERTK	10461	9606	PGRN	2896	9606	no_interaction	SPR	surface plasmon resonance	C, D We found no interaction of PGRN over a wide range of concentrations with either MERTK or AXL by surface plasmon resonance (SPR).	B While there is no baseline difference in AXL mRNA expression in untreated WT or GRN-/- microglia (Sidak's multiple comparison test p = 0.91), 100 nM exogenous progranulin significantly decreased AXL RNA expression in GRN-/- but not WT human induced microglia (Sidak's multiple comparison test p < 0.05).	E, F As controls, we show that Gas6, a known binder of MerTK and Axl, binds these receptors with 27.7 nM and 193 pM affinities respectively and theoretical Rmax of 135 RU.	40596721	PMC12218935	Opposing role of phagocytic receptors MERTK and AXL in Progranulin deficient FTD	CLAIM:000072659:0-1	PAIR2:GENE:10461|GENE:2896	CLAIM:000072659	45e4d71988063d39e8ea7032e241afcda1b937b4	SCOPED_NEGATIVE	not_applicable	construct_variant_domain_specific	negative_is_construct_variant_domain_or_isoform_scoped	positive_control	1	1	none_detected	1	0	1	0	1	0	124.0
