ac_id	protein_a	protein_c	tax_id	pdb_id	assembly_id	structure_file	chain_a	chain_c	bridge_chain	bridge_protein	num_protein_chains	experimental_method	resolution	r_free	ac_min_heavy_a	ac_min_cb_or_ca_a	ac_distance_margin_status	ac_mutual_nearest	a_observed_residues	c_observed_residues	a_construct_coverage	c_construct_coverage	a_canonical_coverage	c_canonical_coverage	ab_min_heavy_a	bc_min_heavy_a	ab_cbca_contact_pairs_8a	bc_cbca_contact_pairs_8a	ab_interface_residues_anchor	ab_interface_residues_bridge	bc_interface_residues_bridge	bc_interface_residues_negative	bridge_edges_interface_pass	aggregate_noncontact_assemblies	aggregate_class_a_assemblies	aggregate_distinct_pdb_count	assembly_coordinate_source	assembly_rebuild_audit_status	direct_positive_conflict_status	structure_grade_provisional	negative_label_semantics	qc_status	assembly_size_stratum
AC:000995	Q6P9B9	Q9NVR2	9606	8rbz	1	8rbz-assembly1.cif.gz	I	N	Q	Q96N11	21	ELECTRON MICROSCOPY			21.577	22.026	robust_ge_10A	0	855	668	0.8374	0.9408	0.8391	0.9408	3.062	3.062	41	74	19	22	28	24	1	3	3	3	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:000996	P09669	P10606	9606	9i7u	1	9i7u-assembly1.cif.gz	I	F	A	P00395	14	ELECTRON MICROSCOPY			19.177	22.768	robust_ge_10A	0	72	98	0.9600	0.7597	0.9600	0.7597	3.522	2.628	3	71	2	2	23	28	0	3	3	3	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:000997	Q9Y7N2	Q9Y821	284812	5n9j	1	5n9j-assembly1.cif.gz	C	G	A	Q9P7Y4	15	X-RAY DIFFRACTION			9.549	12.253	borderline_8_to_10A	0	111	163	0.8043	0.6820	0.8043	0.6820	2.204	2.246	101	93	44	44	42	33	1	1	1	1	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:000998	P09669	P10176	9606	5z62	1	5z62-assembly1.cif.gz	I	M	D	P13073	14	ELECTRON MICROSCOPY			22.452	25.578	robust_ge_10A	0	73	43	1.0000	1.0000	0.9733	0.6232	3.314	3.545	17	10	10	8	6	7	1	3	3	3	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:000999	Q8U0E4	Q8U216	186497	8orq	1	8orq-assembly1.cif.gz	D	F	B	Q8U0M3	11	ELECTRON MICROSCOPY			56.828	59.967	robust_ge_10A	0	258	120	0.9382	1.0000	0.9885	1.0000	2.472	3.353	56	4	31	34	3	3	0	5	5	5	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:001000	A0A4V8GZZ5	A0A4V8H002	325651	6igz	1	6igz-assembly1.cif.gz	L	U	B	A0A4V8H003	23	ELECTRON MICROSCOPY			37.374	41.396	robust_ge_10A	0	155	183	0.7598	0.8243	0.7598	0.8243	2.322	2.732	13	19	9	8	10	9	1	1	1	1	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:001001	Q15369	Q8N884	9606	8okx	1	8okx-assembly1.cif.gz	C	A	B	Q6PJ21	4	ELECTRON MICROSCOPY			33.843	38.898	robust_ge_10A	0	112	362	1.0000	0.9864	1.0000	0.6935	3.078	2.539	37	23	19	19	12	8	1	2	2	2	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	3_10
AC:001002	P01375	P02768	9606	21tv	1	21tv-assembly1.cif.gz	B	E	A		5	ELECTRON MICROSCOPY			27.316	27.316	robust_ge_10A	0	139	573	0.8797	0.9795	0.5966	0.9409	2.779	2.714	74	59	25	25	22	14	1	1	1	1	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	3_10
AC:001003	Q9HVW2	Q9HVW5	208964	7ch8	1	7ch8-assembly1.cif.gz	G	K	I	Q9HVW1	12	ELECTRON MICROSCOPY			10.632	12.471	robust_ge_10A	0	258	98	0.9736	0.9608	0.9736	0.9608	2.551	2.318	51	62	18	23	23	21	1	3	3	3	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:001004	Q39212	Q9M1J2	3702	8hyj	1	8hyj-assembly1.cif.gz	C	E	A	Q5D869	13	ELECTRON MICROSCOPY			52.380	56.207	robust_ge_10A	0	285	209	0.8934	0.9414	0.8934	0.9414	5.590	2.200	0	120	0	0	53	48	0	1	1	1	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:001005	Q13619	Q8N140	9606	9lwi	1	9lwi-assembly1.cif.gz	G	D	A	Q96SB8	9	ELECTRON MICROSCOPY			24.231	28.582	robust_ge_10A	0	719	225	0.9461	0.6757	0.9473	0.6757	2.743	2.355	17	123	8	9	50	46	1	3	3	3	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	3_10
AC:001006	P36100	Q12004	559292	7o4k	1	7o4k-assembly1.cif.gz	P	E	B	P08518	15	ELECTRON MICROSCOPY			22.208	26.791	robust_ge_10A	0	312	292	0.6341	0.8563	0.6473	0.8639	2.693	2.338	136	182	43	63	64	71	1	7	7	7	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:001007	A0A4X1TRS6	A0A8D1B522	9823	8b3f	1	8b3f-assembly1.cif.gz	L	M	B	I3LGP4	16	ELECTRON MICROSCOPY			60.055	63.513	robust_ge_10A	0	46	64	0.7931	0.7711	0.7931	0.7711	2.590	2.754	62	41	19	28	18	15	1	1	1	1	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:001008	P63104	Q02750	9606	9o2z	1	9o2z-assembly1.cif.gz	C	B	A	P15056	4	ELECTRON MICROSCOPY			32.882	34.681	robust_ge_10A	0	220	293	0.8980	0.7455	0.8980	0.7455	2.943	2.446	61	61	33	23	28	23	1	2	2	2	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	3_10
AC:001009	P00044	P00163	559292	3cx5	1	3cx5-assembly1.cif.gz	W	N	O	P07143	23	X-RAY DIFFRACTION			20.384	23.304	robust_ge_10A	0	107	385	1.0000	1.0000	0.9817	1.0000	2.913	2.433	25	77	11	15	30	33	1	2	2	2	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:001010	Q6PIL8	S6C4R2	9606	5w1k	3	5w1k-assembly3.cif.gz	H	L	J	P26313	5	X-RAY DIFFRACTION			14.048	17.367	robust_ge_10A	0	213	226	1.0000	1.0000	0.9025	0.8218	2.830	2.506	6	25	3	5	12	10	1	4	4	1	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	3_10
AC:001011	A0A125YU99	S8GED8	508771	9g9t	1	9g9t-assembly1.cif.gz	R	E	T	A0A125YW21	24	ELECTRON MICROSCOPY			64.425	69.038	robust_ge_10A	0	88	485	0.9888	0.8615	0.9888	0.8615	3.087	7.389	10	0	8	3	0	0	0	1	1	1	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:001012	P56769	Q01667	3702	7wfe	1	7wfe-assembly1.cif.gz	J	M	B	P56767	16	ELECTRON MICROSCOPY			14.437	17.435	robust_ge_10A	0	43	172	0.9773	0.7137	0.9773	0.7137	2.940	3.297	4	5	2	3	2	4	0	3	3	3	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:001013	P23993	Q43485	4513	7ew6	1	7ew6-assembly1.cif.gz	L	M	O	F2CW18	15	ELECTRON MICROSCOPY			45.137	48.155	robust_ge_10A	0	191	203	0.7733	0.7961	0.9139	0.7961	3.002	3.640	29	20	10	13	8	12	1	1	1	1	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:001014	C4M0Z2	C4M2R7	294381	9v1k	1	9v1k-assembly1.cif.gz	K	J	D	C4LTS8	13	ELECTRON MICROSCOPY			17.153	19.998	robust_ge_10A	0	76	141	0.6496	0.8924	0.6496	0.8924	2.600	2.505	11	14	6	9	6	5	1	4	1	4	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:001015	A0A5S8WF82	A0A5S8WF90	666	6pig	1	6pig-assembly1.cif.gz	F	I	G	A0A5S8WF83	10	ELECTRON MICROSCOPY			15.504	18.546	robust_ge_10A	0	338	197	0.9854	0.9949	0.9854	0.5503	2.639	2.720	110	55	38	49	20	23	1	1	1	1	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	3_10
AC:001016	A0QSD5	A0QSP9	246196	8yp6	1	8yp6-assembly1.cif.gz	R	H	L	A0QSG2	19	ELECTRON MICROSCOPY			18.648	25.218	robust_ge_10A	0	80	126	1.0000	1.0000	0.8602	0.8400	4.366	3.484	0	1	0	0	1	1	0	18	15	18	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:001017	Q96Q11	Q99714	9606	8cbm	1	8cbm-assembly1.cif.gz	E	A	F	Q7L0Y3	6	ELECTRON MICROSCOPY			47.488	51.897	robust_ge_10A	0	384	255	0.9771	0.9770	0.8848	0.9770	2.737	2.888	4	45	2	3	19	20	0	1	1	1	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	3_10
AC:001018	E9NPW6	I0Z7A6	574566	9kqp	1	9kqp-assembly1.cif.gz	J	X	O	I0YWK6	24	ELECTRON MICROSCOPY			37.069	39.011	robust_ge_10A	0	39	219	0.9512	0.8051	0.9512	0.8051	3.448	2.769	8	46	2	6	17	17	0	2	1	2	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:001019	C4R273	C4R2R6	644223	5xon	1	5xon-assembly1.cif.gz	H	P	A	C4R4Y0	15	ELECTRON MICROSCOPY			11.355	20.095	robust_ge_10A	0	133	155	0.9172	0.8158	0.9172	0.5439	2.749	1.610	81	145	35	33	66	60	1	1	1	1	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:001020	P15170	Q16531	9606	9hne	2	9hne-assembly2.cif.gz	D	E	F	Q96SW2	3	X-RAY DIFFRACTION			27.844	34.852	robust_ge_10A	0	196	1082	0.9949	0.9491	0.3928	0.9491	2.696	2.499	30	112	12	14	43	59	1	6	6	3	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	3_10
AC:001021	A0A4X1VYD0	A0A7M4DUC2	9823	7f4g	1	7f4g-assembly1.cif.gz	J	A	B	I3LGP4	13	ELECTRON MICROSCOPY			10.315	16.539	robust_ge_10A	0	44	1026	0.7586	0.5208	0.6567	0.5171	2.585	2.365	58	260	18	25	97	84	1	19	17	19	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:001022	P38742	Q02205	559292	9h4q	1	9h4q-assembly1.cif.gz	E	G	B	Q00582	9	ELECTRON MICROSCOPY			23.140	28.037	robust_ge_10A	0	573	95	0.5000	0.5163	0.5000	0.5163	2.821	3.417	19	4	11	9	4	2	0	2	2	2	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	3_10
AC:001023	A8ITV3	Q00914	3055	7zq9	1	7zq9-assembly1.cif.gz	T	C	B	P09144	24	ELECTRON MICROSCOPY			40.656	43.436	robust_ge_10A	0	186	80	0.8732	0.9877	0.8732	0.9877	2.747	2.379	23	44	10	11	22	15	1	7	7	7	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:001024	Q5JE31	Q5JJF4	69014	6kf4	1	6kf4-assembly1.cif.gz	H	D	B	Q5JE32	12	ELECTRON MICROSCOPY			18.708	24.325	robust_ge_10A	0	56	257	0.9825	0.9923	0.6829	0.9923	3.705	2.369	2	48	2	2	29	27	0	7	7	6	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:001025	I4BTY8	I4BTZ2	891968	9mqx	1	9mqx-assembly1.cif.gz	C	D	A	I4BTZ0	9	ELECTRON MICROSCOPY			35.317	37.294	robust_ge_10A	0	159	604	1.0000	1.0000	0.9755	1.0000	2.490	3.180	36	10	13	15	6	6	1	1	1	1	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	3_10
AC:001026	A8HX89	A8JC51	3055	9f5z	1	9f5z-assembly1.cif.gz	R	H	F	Q9FQ96	20	ELECTRON MICROSCOPY			20.789	24.890	robust_ge_10A	0	122	59	0.9919	0.9833	0.9919	0.9833	2.428	2.656	26	35	17	9	17	13	1	2	2	2	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:001027	Q13216	Q6PD62	9606	7oop	1	7oop-assembly1.cif.gz	W	Q	A	P11414	23	ELECTRON MICROSCOPY			52.678	131.627	robust_ge_10A	0	365	890	0.9217	0.7587	0.9217	0.7587	7.388	7.867	0	0	0	0	0	0	0	3	1	3	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:001028	P58246	Q93SX0	103690	4h44	1	4h44-assembly1.cif.gz	G	D	A	P0A384	16	X-RAY DIFFRACTION			19.875	22.094	robust_ge_10A	0	37	166	1.0000	0.9274	1.0000	0.9274	2.962	2.609	51	23	21	18	10	7	1	3	3	3	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:001029	P03925	Q9CQZ6	10090	8iaq	1	8iaq-assembly1.cif.gz	J	S	D	Q91WD5	24	ELECTRON MICROSCOPY			72.722	75.746	robust_ge_10A	0	140	76	0.9790	0.7308	0.8140	0.7308	2.434	2.886	31	42	12	16	22	15	1	31	13	31	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:001030	P47170	Q04491	559292	8adl	1	8adl-assembly1.cif.gz	R	H	A	Q08281	22	ELECTRON MICROSCOPY			98.342	101.199	robust_ge_10A	0	938	311	0.5922	0.8911	0.5922	1.0471	2.471	2.670	54	40	21	26	14	15	1	2	1	2	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:001031	I7M6H4	Q24CE5	312017	6zyw	1	6zyw-assembly1.cif.gz	A	M	Q	Q22YU3	19	ELECTRON MICROSCOPY			36.475	37.562	robust_ge_10A	0	3795	86	0.9105	0.9885	0.9105	0.9885	6.744	3.377	4	23	3	2	12	10	0	1	1	1	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:001032	E1C9L0	P17227	3888	3lw5	1	3lw5-assembly1.cif.gz	J	I	B	P05311	18	X-RAY DIFFRACTION			57.051	60.855	robust_ge_10A	0	42	30	1.0000	1.0000	1.0000	0.7500	3.627	2.444	3	11	2	2	9	5	0	1	1	1	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:001033	P60312	Q9L0I8	100226	9m84	1	9m84-assembly1.cif.gz	B	E	D	Q8CJT1	5	ELECTRON MICROSCOPY			31.993	33.418	robust_ge_10A	0	230	113	0.6765	0.5795	0.6765	0.5795	2.458	2.352	43	88	25	25	37	29	1	1	1	1	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	3_10
AC:001034	Q9ASS6	Q9SGH4	3702	7wff	1	7wff-assembly1.cif.gz	Q	O	D	P26288	17	ELECTRON MICROSCOPY			15.737	17.060	robust_ge_10A	0	173	145	0.6784	0.6591	0.6680	0.6591	2.594	2.924	27	61	8	11	28	20	1	2	2	2	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:001035	Q9BV81	Q9NPA0	9606	8s9s	1	8s9s-assembly1.cif.gz	F	G	C	Q9P0I2	9	ELECTRON MICROSCOPY			14.849	18.248	robust_ge_10A	0	99	136	0.9000	0.5620	0.9000	0.5620	2.198	3.006	74	26	33	25	13	11	1	9	8	9	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	3_10
AC:001036	A8IE32	A8J1J3	3055	7vcf	1	7vcf-assembly1.cif.gz	B	J	A	P36495	15	ELECTRON MICROSCOPY			30.212	31.458	robust_ge_10A	0	649	115	0.8153	0.9055	0.8133	0.9055	2.430	2.479	157	228	70	66	92	74	1	1	1	1	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:001037	A0A097ATH7	A0A097ATK5	2325	7qv7	1	7qv7-assembly1.cif.gz	M	O	A	A0A097ATJ9	16	ELECTRON MICROSCOPY			29.236	33.137	robust_ge_10A	0	448	571	0.9718	0.7685	0.9718	0.7685	5.567	2.589	1	57	1	1	24	20	0	1	1	1	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:001038	A0A2K9VK89	A0A2K9VK99	2024304	9c39	1	9c39-assembly1.cif.gz	I	G	H	A0A2K9VKE4	16	ELECTRON MICROSCOPY			34.533	35.858	robust_ge_10A	0	156	142	0.9398	0.9595	0.9398	0.9595	3.113	2.420	7	57	4	5	19	21	1	1	1	1	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:001039	Q8DL32	Q8DLL4	197221	6l7o	1	6l7o-assembly1.cif.gz	A	T	I	Q8DL31	20	ELECTRON MICROSCOPY			33.707	36.371	robust_ge_10A	0	371	103	0.9973	0.7055	0.9973	0.7055	2.951	2.775	25	41	11	11	16	18	1	1	1	1	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:001040	P16099	P53571	17	1o95	1	1o95-assembly1.cif.gz	B	D	C	P53570	6	X-RAY DIFFRACTION			8.114	13.841	borderline_8_to_10A	0	729	189	1.0000	0.5906	0.9986	0.5888	2.774	2.297	28	156	17	13	56	50	1	2	2	2	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	3_10
AC:001041	P25569	P40208	559292	7nsb	1	7nsb-assembly1.cif.gz	C	D	A	P53076	4	ELECTRON MICROSCOPY			8.139	11.113	borderline_8_to_10A	0	531	247	0.7128	0.5010	0.7128	0.5429	2.432	2.246	101	230	40	42	101	92	1	1	1	1	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	3_10
AC:001042	O19927	Q9TM21	2771	4yuu	3	4yuu-assembly3.cif.gz	CB	UA	SA	Q9TM47	22	X-RAY DIFFRACTION			44.848	47.233	robust_ge_10A	0	30	31	0.9375	0.7209	0.9375	0.7209	3.006	3.096	9	23	5	7	12	10	1	4	4	1	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:001043	A0A287ADR4	A0A481DF93	9823	7ozn	1	7ozn-assembly1.cif.gz	D	O	N	A0A0B8RVL1	24	ELECTRON MICROSCOPY			35.670	44.877	robust_ge_10A	0	129	257	0.9085	0.9345	0.7011	0.8031	2.321	2.406	54	90	24	22	41	36	1	4	4	4	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:001044	A0A716TY65	A0A718C6E5	220341	7ee6	1	7ee6-assembly1.cif.gz	D	F	G	A0A716AET8	7	X-RAY DIFFRACTION			26.931	30.231	robust_ge_10A	0	118	248	0.9833	1.0000	0.8369	0.9219	3.347	2.045	34	51	14	15	23	18	1	1	1	1	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	3_10
AC:001045	O95619	Q9Y230	9606	8x1c	1	8x1c-assembly1.cif.gz	W	P	I	Q6ZRS2	23	ELECTRON MICROSCOPY			93.520	94.939	robust_ge_10A	0	187	427	0.8238	0.9222	0.8238	0.9222	1.438	2.648	17	57	8	7	24	24	1	3	3	3	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
