protein_a	protein_c	example_evidence	reason	details
E3VX74	G5B8Y2	9y44-assembly1.cif.gz:DC-MB	assembly_exceeds_chain_cap	chains=77
A0A0P6JDT6	G5AS76	9y44-assembly1.cif.gz:AB-DB	assembly_exceeds_chain_cap	chains=77
G5BAZ4	G5BJD7	9y44-assembly1.cif.gz:GB-IB	assembly_exceeds_chain_cap	chains=77
A0A0P6JCV6	G5BK67	9y44-assembly1.cif.gz:S-V	assembly_exceeds_chain_cap	chains=77
G5B1R5	G5CBG2	9y44-assembly1.cif.gz:HB-UB	assembly_exceeds_chain_cap	chains=77
A0A0P6J231	A0A0P6J730	9y44-assembly1.cif.gz:LB-WA	assembly_exceeds_chain_cap	chains=77
A0AAX6NYH3	G5B8Y2	9y44-assembly1.cif.gz:DC-NA	assembly_exceeds_chain_cap	chains=77
A0A0P6J3A4	G5B8Y2	9y44-assembly1.cif.gz:DC-F	assembly_exceeds_chain_cap	chains=77
G5ATV5	G5C020	9y44-assembly1.cif.gz:CC-T	assembly_exceeds_chain_cap	chains=77
A0AAX6NYH3	G5ALX1	9y44-assembly1.cif.gz:M-NA	assembly_exceeds_chain_cap	chains=77
G5BFP9	G5C020	9y44-assembly1.cif.gz:CC-N	assembly_exceeds_chain_cap	chains=77
A0A0P6IZJ7	G5BJD7	9y44-assembly1.cif.gz:CB-GB	assembly_exceeds_chain_cap	chains=77
P30050	P46777	8g5z-assembly1.cif.gz:CB-UA	assembly_exceeds_chain_cap	chains=80
P05388	P27635	8g5z-assembly1.cif.gz:BB-TA	assembly_exceeds_chain_cap	chains=80
Q71TB5	Q71TM4	9ay5-assembly1.cif.gz:BB-L	assembly_exceeds_chain_cap	chains=90
Q71T87	Q71TB5	9ay5-assembly1.cif.gz:AB-W	assembly_exceeds_chain_cap	chains=90
Q71TB5	Q71TD2	9ay5-assembly1.cif.gz:DB-Y	assembly_exceeds_chain_cap	chains=90
Q71T87	Q71TC8	9ay5-assembly1.cif.gz:E-W	assembly_exceeds_chain_cap	chains=90
Q71TC8	Q71TD2	9ay5-assembly1.cif.gz:B-Y	assembly_exceeds_chain_cap	chains=90
Q71TD2	Q71TM4	9ay5-assembly1.cif.gz:H-Z	assembly_exceeds_chain_cap	chains=90
Q71TC8	Q71TP1	9ay5-assembly1.cif.gz:A-R	assembly_exceeds_chain_cap	chains=90
P51398	Q9NX20	9olf-assembly1.cif.gz:N-PA	assembly_exceeds_chain_cap	chains=93
P82663	Q6P1L8	9olf-assembly1.cif.gz:L-LA	assembly_exceeds_chain_cap	chains=93
Q9BYD6	Q9P0M9	9olf-assembly1.cif.gz:VC-W	assembly_exceeds_chain_cap	chains=93
P82663	Q9P0M9	9olf-assembly1.cif.gz:LA-W	assembly_exceeds_chain_cap	chains=93
Q8TAE8	Q96EL2	9olf-assembly1.cif.gz:AC-MC	assembly_exceeds_chain_cap	chains=93
Q9NRX2	Q9Y2R5	9olf-assembly1.cif.gz:FA-O	assembly_exceeds_chain_cap	chains=93
P82663	Q9BSH4	9olf-assembly1.cif.gz:LA-XA	assembly_exceeds_chain_cap	chains=93
P82912	Q9HD33	9olf-assembly1.cif.gz:AA-Y	assembly_exceeds_chain_cap	chains=93
Q9BSH4	Q9NWU5	9olf-assembly1.cif.gz:C-PB	assembly_exceeds_chain_cap	chains=93
Q9BYN8	Q9NX20	9olf-assembly1.cif.gz:MA-N	assembly_exceeds_chain_cap	chains=93
Q15070	Q9BYC8	9olf-assembly1.cif.gz:A-KB	assembly_exceeds_chain_cap	chains=93
Q13084	Q9Y2Q9	9olf-assembly1.cif.gz:OA-X	assembly_exceeds_chain_cap	chains=93
Q9HD33	Q9Y3D9	9olf-assembly1.cif.gz:KA-Y	assembly_exceeds_chain_cap	chains=93
Q92665	Q96A35	9olf-assembly1.cif.gz:QA-V	assembly_exceeds_chain_cap	chains=93
Q96EL3	Q9BSH4	9olf-assembly1.cif.gz:GC-XA	assembly_exceeds_chain_cap	chains=93
P51398	Q16540	9olf-assembly1.cif.gz:PA-U	assembly_exceeds_chain_cap	chains=93
O15235	Q16540	9olf-assembly1.cif.gz:BA-U	assembly_exceeds_chain_cap	chains=93
A0AAX6QHL6	A0AAX6T3G5	9y42-assembly1.cif.gz:GB-I	assembly_exceeds_chain_cap	chains=78
A0A0P6JEN2	G5B7K7	9y42-assembly1.cif.gz:KB-NB	assembly_exceeds_chain_cap	chains=78
A0A0P6J939	A0A0P6K1L6	9y42-assembly1.cif.gz:AA-DA	assembly_exceeds_chain_cap	chains=78
E3VX74	G5BK67	9y42-assembly1.cif.gz:SA-V	assembly_exceeds_chain_cap	chains=78
A0A0P6J939	G5AN81	9y42-assembly1.cif.gz:C-DA	assembly_exceeds_chain_cap	chains=78
E3VX70	G5BN91	9y42-assembly1.cif.gz:NA-Y	assembly_exceeds_chain_cap	chains=78
A0A0P6J0V6	G5C5A6	9y42-assembly1.cif.gz:FB-KA	assembly_exceeds_chain_cap	chains=78
A0A0P6J0V6	G5AS76	9y42-assembly1.cif.gz:FB-MB	assembly_exceeds_chain_cap	chains=78
A0AAX6P0W2	G5B890	9y42-assembly1.cif.gz:E-Q	assembly_exceeds_chain_cap	chains=78
G5AS76	G5AY31	9y42-assembly1.cif.gz:EB-MB	assembly_exceeds_chain_cap	chains=78
A0A0P6J125	G5BK67	9y42-assembly1.cif.gz:U-XA	assembly_exceeds_chain_cap	chains=78
A0AAX6TFX7	G5ALX1	9y42-assembly1.cif.gz:J-M	assembly_exceeds_chain_cap	chains=78
A0A0P6J0V6	G5B0I4	9y42-assembly1.cif.gz:CB-FB	assembly_exceeds_chain_cap	chains=78
A0AAX6P0W2	A0AAX6T3G5	9y42-assembly1.cif.gz:D-GB	assembly_exceeds_chain_cap	chains=78
G5AN81	G5BW65	9y42-assembly1.cif.gz:C-MA	assembly_exceeds_chain_cap	chains=78
A0A0P6K1L6	G5C7L2	9y42-assembly1.cif.gz:LB-YA	assembly_exceeds_chain_cap	chains=78
A0A0P6JCV6	G5AN81	9y42-assembly1.cif.gz:C-R	assembly_exceeds_chain_cap	chains=78
A0A0P6J3A4	A0A0P6JT91	9y42-assembly1.cif.gz:A-HA	assembly_exceeds_chain_cap	chains=78
A0A0P6J939	A0AAX6TFX7	9y42-assembly1.cif.gz:DA-J	assembly_exceeds_chain_cap	chains=78
A0A0P6J730	G5B1R5	9y42-assembly1.cif.gz:FC-VB	assembly_exceeds_chain_cap	chains=78
A0A0P6JCV6	G5C5A6	9y42-assembly1.cif.gz:KA-R	assembly_exceeds_chain_cap	chains=78
E3VX70	G5BK67	9y42-assembly1.cif.gz:NA-V	assembly_exceeds_chain_cap	chains=78
A0A0P6J0Q6	G5B8Y2	9y42-assembly1.cif.gz:BB-RA	assembly_exceeds_chain_cap	chains=78
A0AAX6PQW7	G5BN91	9y42-assembly1.cif.gz:X-Z	assembly_exceeds_chain_cap	chains=78
G5BAZ4	G5BW65	9y42-assembly1.cif.gz:MA-SB	assembly_exceeds_chain_cap	chains=78
G5ALX1	G5BVZ2	9y42-assembly1.cif.gz:M-OA	assembly_exceeds_chain_cap	chains=78
A0A0P6IYP5	G5BK67	9y42-assembly1.cif.gz:IA-V	assembly_exceeds_chain_cap	chains=78
A0A0P6J0V6	A0AAX6T3G5	9y42-assembly1.cif.gz:FB-GB	assembly_exceeds_chain_cap	chains=78
A0A0P6JT91	A0AAX6PQW7	9y42-assembly1.cif.gz:HA-X	assembly_exceeds_chain_cap	chains=78
A0A0P6IYP5	A0A0P6JT91	9y42-assembly1.cif.gz:HA-IA	assembly_exceeds_chain_cap	chains=78
G1SS70	U3KMN4	7a01-assembly1.cif.gz:HB-NB	assembly_exceeds_chain_cap	chains=80
G1TUN8	G1U1N5	7a01-assembly1.cif.gz:FA-N	assembly_exceeds_chain_cap	chains=80
G1T0C1	G1T1F0	7a01-assembly1.cif.gz:DB-OA	assembly_exceeds_chain_cap	chains=80
G1SNY0	G1U1N5	7a01-assembly1.cif.gz:FA-J	assembly_exceeds_chain_cap	chains=80
A0A5F9CX53	U3KMN4	7a01-assembly1.cif.gz:BC-NB	assembly_exceeds_chain_cap	chains=80
A0A5F9CX53	G1T168	7a01-assembly1.cif.gz:BC-XB	assembly_exceeds_chain_cap	chains=80
A0A1D8PCW6	A0A1D8PLC9	8oi5-assembly2.cif.gz:DD-UC	assembly_exceeds_chain_cap	chains=73
A0A1D8PG16	A0A1D8PK22	8oi5-assembly2.cif.gz:DC-MD	assembly_exceeds_chain_cap	chains=73
A0A1D8PHF5	A0A1D8PP14	8oi5-assembly2.cif.gz:AE-RD	assembly_exceeds_chain_cap	chains=73
A0A1D8PP14	Q5AEN2	8oi5-assembly2.cif.gz:BD-RD	assembly_exceeds_chain_cap	chains=73
A0A1D8PSV5	O42817	8oi5-assembly2.cif.gz:TD-WD	assembly_exceeds_chain_cap	chains=73
A0A1D8PK40	A0A1D8PTI7	8oi5-assembly2.cif.gz:TC-UE	assembly_exceeds_chain_cap	chains=73
A0A1D8PPE0	Q5AEN2	8oi5-assembly2.cif.gz:BD-GE	assembly_exceeds_chain_cap	chains=73
Q59TE0	Q5A6R1	8oi5-assembly2.cif.gz:PC-RC	assembly_exceeds_chain_cap	chains=73
A0A1D8PK40	A0A1D8PP14	8oi5-assembly2.cif.gz:RD-TC	assembly_exceeds_chain_cap	chains=73
A0A1D8PGY0	A0A1D8PH21	8oi5-assembly2.cif.gz:CD-VC	assembly_exceeds_chain_cap	chains=73
A0A1D8PDL6	A0A1D8PH21	8oi5-assembly2.cif.gz:CD-IC	assembly_exceeds_chain_cap	chains=73
A0A1D8PPS1	P40910	8oi5-assembly2.cif.gz:UD-ZC	assembly_exceeds_chain_cap	chains=73
A0A1D8PSK2	Q5AGZ7	8oi5-assembly2.cif.gz:GC-XE	assembly_exceeds_chain_cap	chains=73
A0A1D8PG16	A0A1D8PP14	8oi5-assembly2.cif.gz:MD-RD	assembly_exceeds_chain_cap	chains=73
Q5A900	Q5AGZ7	8oi5-assembly2.cif.gz:GC-VD	assembly_exceeds_chain_cap	chains=73
A0A1D8PDU3	Q5AGZ7	8oi5-assembly2.cif.gz:GC-QE	assembly_exceeds_chain_cap	chains=73
A0A1D8PK22	A0A1D8PK40	8oi5-assembly2.cif.gz:DC-TC	assembly_exceeds_chain_cap	chains=73
A0A1D8PPN6	Q5A6R1	8oi5-assembly2.cif.gz:GD-PC	assembly_exceeds_chain_cap	chains=73
A0A1D8PCW6	A0A1D8PK71	8oi5-assembly2.cif.gz:DD-ZE	assembly_exceeds_chain_cap	chains=73
A0A1D8PDZ1	A0A1D8PHF5	8oi5-assembly2.cif.gz:AE-ID	assembly_exceeds_chain_cap	chains=73
A0A1D8PK22	Q5ALV6	8oi5-assembly2.cif.gz:DC-TE	assembly_exceeds_chain_cap	chains=73
Q4QG98	Q868B1	8a98-assembly1.cif.gz:DA-P	assembly_exceeds_chain_cap	chains=73
Q4Q4D3	Q4QDL5	8a98-assembly1.cif.gz:F-FA	assembly_exceeds_chain_cap	chains=73
Q4QFG2	Q4QG98	8a98-assembly1.cif.gz:H-P	assembly_exceeds_chain_cap	chains=73
Q4QC91	Q4QGW3	8a98-assembly1.cif.gz:BA-E	assembly_exceeds_chain_cap	chains=73
E9AC32	Q4Q8X0	8a98-assembly1.cif.gz:CA-YB	assembly_exceeds_chain_cap	chains=73
Q4FX73	Q4QAX6	8a98-assembly1.cif.gz:GB-SA	assembly_exceeds_chain_cap	chains=73
Q4Q1W6	Q4Q6S3	8a98-assembly1.cif.gz:M-XB	assembly_exceeds_chain_cap	chains=73
Q4Q4D3	Q9NE83	8a98-assembly1.cif.gz:EA-F	assembly_exceeds_chain_cap	chains=73
Q4Q9A5	Q4QC91	8a98-assembly1.cif.gz:AA-E	assembly_exceeds_chain_cap	chains=73
Q4Q4D3	Q4QDP9	8a98-assembly1.cif.gz:F-OB	assembly_exceeds_chain_cap	chains=73
E9AFK0	E9AFK3	8a98-assembly1.cif.gz:J-L	assembly_exceeds_chain_cap	chains=73
E9AC32	E9AFK0	8a98-assembly1.cif.gz:CA-L	assembly_exceeds_chain_cap	chains=73
E9AC32	E9AFK3	8a98-assembly1.cif.gz:CA-J	assembly_exceeds_chain_cap	chains=73
E9ADW5	Q4QBJ1	8a98-assembly1.cif.gz:C-K	assembly_exceeds_chain_cap	chains=73
Q4Q4D3	Q4QEX4	8a98-assembly1.cif.gz:F-S	assembly_exceeds_chain_cap	chains=73
Q4Q6S3	Q4QDL5	8a98-assembly1.cif.gz:FA-M	assembly_exceeds_chain_cap	chains=73
Q4Q4D3	Q4Q8X0	8a98-assembly1.cif.gz:F-YB	assembly_exceeds_chain_cap	chains=73
Q4QGW7	Q868B1	8a98-assembly1.cif.gz:DA-Z	assembly_exceeds_chain_cap	chains=73
P48157	Q4FWX5	8a98-assembly1.cif.gz:A-D	assembly_exceeds_chain_cap	chains=73
Q4QDL5	Q4QEX4	8a98-assembly1.cif.gz:FA-S	assembly_exceeds_chain_cap	chains=73
Q4QC91	Q4QDL5	8a98-assembly1.cif.gz:E-FA	assembly_exceeds_chain_cap	chains=73
Q4Q9A5	Q4QJ37	8a98-assembly1.cif.gz:AA-Q	assembly_exceeds_chain_cap	chains=73
P25204	Q4Q6S3	8a98-assembly1.cif.gz:M-N	assembly_exceeds_chain_cap	chains=73
E9AEK1	Q4Q5J4	8a98-assembly1.cif.gz:KA-R	assembly_exceeds_chain_cap	chains=73
P25204	Q4QJ20	8a98-assembly1.cif.gz:N-V	assembly_exceeds_chain_cap	chains=73
Q4Q2Q6	Q4QEX4	8a98-assembly1.cif.gz:B-S	assembly_exceeds_chain_cap	chains=73
Q4QEX4	Q4QGW3	8a98-assembly1.cif.gz:BA-S	assembly_exceeds_chain_cap	chains=73
Q4Q8X0	Q4QJ20	8a98-assembly1.cif.gz:RB-YB	assembly_exceeds_chain_cap	chains=73
Q4Q8X0	Q4QDP9	8a98-assembly1.cif.gz:OB-YB	assembly_exceeds_chain_cap	chains=73
E9AC32	E9ADW5	8a98-assembly1.cif.gz:C-CA	assembly_exceeds_chain_cap	chains=73
Q38BP1	Q57Z45	7pub-assembly1.cif.gz:G-NA	assembly_exceeds_chain_cap	chains=75
Q389L3	Q586A1	7pub-assembly1.cif.gz:AA-Z	assembly_exceeds_chain_cap	chains=75
Q383R4	Q57YB5	7pub-assembly1.cif.gz:CA-FA	assembly_exceeds_chain_cap	chains=75
Q57VQ9	Q57ZP8	7pub-assembly1.cif.gz:JA-Y	assembly_exceeds_chain_cap	chains=75
Q38A63	Q57XL2	7pub-assembly1.cif.gz:LB-PA	assembly_exceeds_chain_cap	chains=75
Q4GZ99	Q57ZP1	7pub-assembly1.cif.gz:K-MB	assembly_exceeds_chain_cap	chains=75
Q57UA2	Q587C2	7pub-assembly1.cif.gz:LA-UA	assembly_exceeds_chain_cap	chains=75
Q382U6	Q38BW5	7pub-assembly1.cif.gz:D-JB	assembly_exceeds_chain_cap	chains=75
Q57UZ6	Q57WE3	7pub-assembly1.cif.gz:IA-YA	assembly_exceeds_chain_cap	chains=75
Q385L8	Q57YC0	7pub-assembly1.cif.gz:GA-HB	assembly_exceeds_chain_cap	chains=75
Q382U6	Q57YC0	7pub-assembly1.cif.gz:HB-JB	assembly_exceeds_chain_cap	chains=75
Q388L7	Q57WW0	7pub-assembly1.cif.gz:U-VA	assembly_exceeds_chain_cap	chains=75
Q38C96	Q57YC0	7pub-assembly1.cif.gz:HB-X	assembly_exceeds_chain_cap	chains=75
Q383N9	Q383R4	7pub-assembly1.cif.gz:CA-ZA	assembly_exceeds_chain_cap	chains=75
Q38D60	Q587C2	7pub-assembly1.cif.gz:LA-QA	assembly_exceeds_chain_cap	chains=75
Q386Q7	Q57YC0	7pub-assembly1.cif.gz:HA-HB	assembly_exceeds_chain_cap	chains=75
Q383G5	Q57YC0	7pub-assembly1.cif.gz:AB-HB	assembly_exceeds_chain_cap	chains=75
Q38BP1	Q38DP8	7pub-assembly1.cif.gz:M-NA	assembly_exceeds_chain_cap	chains=75
Q38DK4	Q586G5	7pub-assembly1.cif.gz:KB-WA	assembly_exceeds_chain_cap	chains=75
Q57UW6	Q580M9	7pub-assembly1.cif.gz:GB-P	assembly_exceeds_chain_cap	chains=75
Q57XL2	Q580M9	7pub-assembly1.cif.gz:P-PA	assembly_exceeds_chain_cap	chains=75
Q580M9	Q584U8	7pub-assembly1.cif.gz:MA-P	assembly_exceeds_chain_cap	chains=75
Q384N9	Q38BS2	7pub-assembly1.cif.gz:L-OA	assembly_exceeds_chain_cap	chains=75
Q38DP8	Q57WE3	7pub-assembly1.cif.gz:M-NB	assembly_exceeds_chain_cap	chains=75
Q38BP1	Q38E61	7pub-assembly1.cif.gz:EB-NA	assembly_exceeds_chain_cap	chains=75
Q57YD4	Q584U8	7pub-assembly1.cif.gz:BB-MA	assembly_exceeds_chain_cap	chains=75
Q383G5	Q57YB5	7pub-assembly1.cif.gz:AB-FA	assembly_exceeds_chain_cap	chains=75
Q38D60	Q57UK0	7pub-assembly1.cif.gz:QA-V	assembly_exceeds_chain_cap	chains=75
Q383D1	Q38A63	7pub-assembly1.cif.gz:LB-RA	assembly_exceeds_chain_cap	chains=75
Q382E8	Q586P5	7pub-assembly1.cif.gz:DB-TA	assembly_exceeds_chain_cap	chains=75
P08708	Q96CT7	6zm7-assembly1.cif.gz:GC-IB	assembly_exceeds_chain_cap	chains=81
P05388	P50914	6zm7-assembly1.cif.gz:O-TA	assembly_exceeds_chain_cap	chains=81
G0S3V7	G0SBN9	6rxu-assembly1.cif.gz:GA-N	assembly_exceeds_chain_cap	chains=64
G0SGM0	G0SHP3	6rxu-assembly1.cif.gz:EB-W	assembly_exceeds_chain_cap	chains=64
G0S9M9	G0SF32	6rxu-assembly1.cif.gz:H-ZA	assembly_exceeds_chain_cap	chains=64
G0RZ99	G0SAJ6	6rxu-assembly1.cif.gz:F-LB	assembly_exceeds_chain_cap	chains=64
G0S7Z2	G0SF00	6rxu-assembly1.cif.gz:KB-VA	assembly_exceeds_chain_cap	chains=64
G0S3T2	G0S9M9	6rxu-assembly1.cif.gz:HA-ZA	assembly_exceeds_chain_cap	chains=64
G0RZL9	G0SFL1	6rxu-assembly1.cif.gz:I-TA	assembly_exceeds_chain_cap	chains=64
G0S445	G0S5L1	6rxu-assembly1.cif.gz:G-Z	assembly_exceeds_chain_cap	chains=64
G0RY45	G0S8Y4	6rxu-assembly1.cif.gz:K-QA	assembly_exceeds_chain_cap	chains=64
G0RYF6	G0SDW0	6rxu-assembly1.cif.gz:B-U	assembly_exceeds_chain_cap	chains=64
G0S387	G0SHP3	6rxu-assembly1.cif.gz:E-EB	assembly_exceeds_chain_cap	chains=64
G0S273	G0S3V7	6rxu-assembly1.cif.gz:GA-JA	assembly_exceeds_chain_cap	chains=64
G0RZL4	G0SBN9	6rxu-assembly1.cif.gz:HB-N	assembly_exceeds_chain_cap	chains=64
G0S872	G0SFL1	6rxu-assembly1.cif.gz:O-TA	assembly_exceeds_chain_cap	chains=64
G0S0Z4	G0S5F1	6rxu-assembly1.cif.gz:AB-RA	assembly_exceeds_chain_cap	chains=64
G0S273	G0SGY2	6rxu-assembly1.cif.gz:CA-IA	assembly_exceeds_chain_cap	chains=64
G0SAJ6	G0SFL1	6rxu-assembly1.cif.gz:LB-TA	assembly_exceeds_chain_cap	chains=64
G0RY94	G0SF00	6rxu-assembly1.cif.gz:DA-VA	assembly_exceeds_chain_cap	chains=64
G0S9M9	G0SDL4	6rxu-assembly1.cif.gz:AA-ZA	assembly_exceeds_chain_cap	chains=64
G0S8Y4	G0SF00	6rxu-assembly1.cif.gz:K-VA	assembly_exceeds_chain_cap	chains=64
G0S612	G0SF93	6rxu-assembly1.cif.gz:NB-UA	assembly_exceeds_chain_cap	chains=64
G0S7Z2	G0SGY2	6rxu-assembly1.cif.gz:KB-R	assembly_exceeds_chain_cap	chains=64
G0S0B1	G0S9M9	6rxu-assembly1.cif.gz:Y-ZA	assembly_exceeds_chain_cap	chains=64
G0RY43	G0S7Z2	6rxu-assembly1.cif.gz:KB-OA	assembly_exceeds_chain_cap	chains=64
G0S9M9	G0SGY2	6rxu-assembly1.cif.gz:CA-ZA	assembly_exceeds_chain_cap	chains=64
G0RY43	G0S3V7	6rxu-assembly1.cif.gz:GA-OA	assembly_exceeds_chain_cap	chains=64
G0S3V7	G0SGY2	6rxu-assembly1.cif.gz:CA-GA	assembly_exceeds_chain_cap	chains=64
G0RZL4	G0RZL9	6rxu-assembly1.cif.gz:HB-I	assembly_exceeds_chain_cap	chains=64
G0S0B1	G0S5J4	6rxu-assembly1.cif.gz:JB-Y	assembly_exceeds_chain_cap	chains=64
G0SAY9	P0CT47	6rxu-assembly1.cif.gz:EA-FB	assembly_exceeds_chain_cap	chains=64
P04650	P0CX26	5m1j-assembly1.cif.gz:GB-MB	assembly_exceeds_chain_cap	chains=76
P0C0W1	P0CX26	5m1j-assembly1.cif.gz:DA-MB	assembly_exceeds_chain_cap	chains=76
P0CX26	P26786	5m1j-assembly1.cif.gz:MB-O	assembly_exceeds_chain_cap	chains=76
P32905	P33309	5m1j-assembly1.cif.gz:A-B	assembly_exceeds_chain_cap	chains=76
P0CX28	P0CX49	5m1j-assembly1.cif.gz:LB-OB	assembly_exceeds_chain_cap	chains=76
P32769	Q08745	5m1j-assembly1.cif.gz:BC-R	assembly_exceeds_chain_cap	chains=76
P0CX28	P0CX45	5m1j-assembly1.cif.gz:LB-NA	assembly_exceeds_chain_cap	chains=76
P32769	Q01855	5m1j-assembly1.cif.gz:BC-W	assembly_exceeds_chain_cap	chains=76
P33309	Q08745	5m1j-assembly1.cif.gz:A-R	assembly_exceeds_chain_cap	chains=76
P25443	P32769	5m1j-assembly1.cif.gz:BC-F	assembly_exceeds_chain_cap	chains=76
P14126	P33309	5m1j-assembly1.cif.gz:A-PA	assembly_exceeds_chain_cap	chains=76
P0C0X0	P0CX87	5m1j-assembly1.cif.gz:G-UB	assembly_exceeds_chain_cap	chains=76
P46778	Q96CT7	8k2c-assembly1.cif.gz:HC-V	assembly_exceeds_chain_cap	chains=81
J3KQN4	P08865	8g60-assembly1.cif.gz:CC-SA	assembly_exceeds_chain_cap	chains=79
P40429	P62495	9qlq-assembly1.cif.gz:C-U	assembly_exceeds_chain_cap	chains=82
P30050	P61247	9qlq-assembly1.cif.gz:SB-YA	assembly_exceeds_chain_cap	chains=82
P27635	P62841	8xsy-assembly1.cif.gz:GB-L	assembly_exceeds_chain_cap	chains=81
Q96CT7	Q9UQ80	8xsy-assembly1.cif.gz:CA-HC	assembly_exceeds_chain_cap	chains=81
P47914	Q96CT7	8xsy-assembly1.cif.gz:DA-HC	assembly_exceeds_chain_cap	chains=81
P26783	Q05498	7suk-assembly1.cif.gz:H-QA	assembly_exceeds_chain_cap	chains=67
Q06512	Q12220	7suk-assembly1.cif.gz:EB-Y	assembly_exceeds_chain_cap	chains=67
P42945	Q04305	7suk-assembly1.cif.gz:R-U	assembly_exceeds_chain_cap	chains=67
P0CX37	P40079	7suk-assembly1.cif.gz:OB-RB	assembly_exceeds_chain_cap	chains=67
Q06631	Q12136	7suk-assembly1.cif.gz:NB-QB	assembly_exceeds_chain_cap	chains=67
P40546	Q99207	7suk-assembly1.cif.gz:IB-XA	assembly_exceeds_chain_cap	chains=67
P15880	P62495	6ip8-assembly1.cif.gz:CC-PB	assembly_exceeds_chain_cap	chains=77
P46782	P62495	6ip8-assembly1.cif.gz:CC-YA	assembly_exceeds_chain_cap	chains=77
P62495	Q02543	6ip8-assembly1.cif.gz:CC-U	assembly_exceeds_chain_cap	chains=77
P62495	P63244	6ip8-assembly1.cif.gz:CC-OB	assembly_exceeds_chain_cap	chains=77
P32344	P53724	8ux4-assembly1.cif.gz:AA-G	assembly_exceeds_chain_cap	chains=72
P36527	P38064	8ux4-assembly1.cif.gz:DB-LA	assembly_exceeds_chain_cap	chains=72
P36525	Q04598	8ux4-assembly1.cif.gz:LB-RB	assembly_exceeds_chain_cap	chains=72
P10663	P31334	8ux4-assembly1.cif.gz:C-CA	assembly_exceeds_chain_cap	chains=72
P20084	P25348	8ux4-assembly1.cif.gz:U-W	assembly_exceeds_chain_cap	chains=72
O14464	P12687	8ux4-assembly1.cif.gz:JA-KB	assembly_exceeds_chain_cap	chains=72
P36534	P51998	8ux4-assembly1.cif.gz:JB-WA	assembly_exceeds_chain_cap	chains=72
O14464	P53881	8ux4-assembly1.cif.gz:HB-JA	assembly_exceeds_chain_cap	chains=72
P22354	P36519	8ux4-assembly1.cif.gz:E-SB	assembly_exceeds_chain_cap	chains=72
P20084	Q02608	8ux4-assembly1.cif.gz:EA-U	assembly_exceeds_chain_cap	chains=72
P36517	P40033	8ux4-assembly1.cif.gz:GA-T	assembly_exceeds_chain_cap	chains=72
P51998	Q03246	8ux4-assembly1.cif.gz:D-FA	assembly_exceeds_chain_cap	chains=72
P23369	P40858	8ux4-assembly1.cif.gz:GB-TB	assembly_exceeds_chain_cap	chains=72
P32344	P36517	8ux4-assembly1.cif.gz:AA-T	assembly_exceeds_chain_cap	chains=72
P36521	P38783	8ux4-assembly1.cif.gz:AB-WB	assembly_exceeds_chain_cap	chains=72
P38783	Q02204	8ux4-assembly1.cif.gz:AB-RA	assembly_exceeds_chain_cap	chains=72
P14063	Q06678	8ux4-assembly1.cif.gz:KA-UB	assembly_exceeds_chain_cap	chains=72
P36533	P53724	8ux4-assembly1.cif.gz:G-X	assembly_exceeds_chain_cap	chains=72
P25642	Q04598	8ux4-assembly1.cif.gz:QA-RB	assembly_exceeds_chain_cap	chains=72
P21771	P53724	8ux4-assembly1.cif.gz:DA-G	assembly_exceeds_chain_cap	chains=72
P36517	Q06090	8ux4-assembly1.cif.gz:MB-NA	assembly_exceeds_chain_cap	chains=72
P36520	P38783	8ux4-assembly1.cif.gz:AB-CB	assembly_exceeds_chain_cap	chains=72
P36533	P53881	8ux4-assembly1.cif.gz:O-X	assembly_exceeds_chain_cap	chains=72
P23369	P51998	8ux4-assembly1.cif.gz:TB-WA	assembly_exceeds_chain_cap	chains=72
P36534	Q06678	8ux4-assembly1.cif.gz:JB-KA	assembly_exceeds_chain_cap	chains=72
P51998	P53881	8ux4-assembly1.cif.gz:D-O	assembly_exceeds_chain_cap	chains=72
P25348	P36533	8ux4-assembly1.cif.gz:W-X	assembly_exceeds_chain_cap	chains=72
P36517	P53881	8ux4-assembly1.cif.gz:O-T	assembly_exceeds_chain_cap	chains=72
P25348	P36531	8ux4-assembly1.cif.gz:V-W	assembly_exceeds_chain_cap	chains=72
P53881	Q06630	8ux4-assembly1.cif.gz:HB-VB	assembly_exceeds_chain_cap	chains=72
P02406	Q06709	8uti-assembly1.cif.gz:G-OB	assembly_exceeds_chain_cap	chains=75
J3KQN4	P62917	6z6l-assembly1.cif.gz:D-QA	assembly_exceeds_chain_cap	chains=78
J3KQN4	Q96L21	6z6l-assembly1.cif.gz:L-QA	assembly_exceeds_chain_cap	chains=78
Q24JY1	Q3T199	6mtd-assembly1.cif.gz:WB-X	assembly_exceeds_chain_cap	chains=80
Q2KHT7	Q3T199	6mtd-assembly1.cif.gz:AC-WB	assembly_exceeds_chain_cap	chains=80
Q32PB8	Q56JV1	6mtd-assembly1.cif.gz:UB-ZB	assembly_exceeds_chain_cap	chains=80
Q32PB8	Q3T199	6mtd-assembly1.cif.gz:UB-WB	assembly_exceeds_chain_cap	chains=80
Q3T0X6	Q56JV1	6mtd-assembly1.cif.gz:PB-ZB	assembly_exceeds_chain_cap	chains=80
G1SY53	G1T0C1	6gz3-assembly1.cif.gz:AB-CC	assembly_exceeds_chain_cap	chains=79
G1SMR7	G1T6D1	6gz3-assembly1.cif.gz:FC-IB	assembly_exceeds_chain_cap	chains=79
