Q92496	Q92496
Q48UF7	Q48UF7
Q48UF7	P09104
Q495A1	Q495A1
Q4FZW5	Q4FZW5
Q4FZW5	Q6GNF1
Q4FZW5	P53011
Q4FZW5	Q7ZYJ8
Q50755	Q50755
Q54VN6	Q54VN6
Q54XI5	Q54XI5
Q57XL7	Q57XL7
Q57ZX7	Q57ZX7
Q5FWN0	Q5FWN0
Q5FWN0	Q9YGY0
Q5FWN0	O35625
Q5FWN0	O15169
Q5S006	Q5S006
Q5S006	Q5S007
Q5SJH3	Q5SJH3
Q5SLQ0	Q5SLQ0
Q5T9L3	Q5T9L3
Q5TA45	Q5TA45
Q60770	Q60770
Q61483	Q61483
Q62406	Q62406
Q64337	Q64337
Q64337	Q13501
Q66HD0	Q66HD0
Q66HD0	P07900
Q66HD0	P08238
Q66HD0	P02829
Q66HD0	Q58FF6
Q66HD0	Q12931
Q68D85	Q68D85
Q6N030	Q6N030
Q6N030	P01857
Q6N030	P0DOX5
Q6N030	S6C4R2
Q6N030	P01865
Q6N030	Q6N095
Q6N030	Q6GMX6
Q6N030	S6B291
Q6N030	S6B2B6
Q6N030	S6C4S0
Q6N030	U5LP42
Q6N030	P01750
Q6N030	P18526
Q6P1N0	Q6P1N0
Q6PFX9	Q6PFX9
Q6PFX9	P42771
Q6PGQ7	Q6PGQ7
Q6PIL8	Q6PIL8
Q6PIL8	P0DOX7
Q6PIL8	A0A5C2GTV1
Q6PIL8	A0A5C2GVU3
Q6PIL8	A2P1G9
Q6PIL8	P01837
Q6PIL8	P01660
Q6PIL8	A0A5C2G4I7
Q6PIL8	G0YP42
Q6PJ56	Q6PJ56
Q6PJ56	Q5R1F1
Q6Q1S2	Q6Q1S2
Q6Q1S2	A0A2R4KP93
Q6Q1S2	P0DTC2
Q6UUV7	Q6UUV7
Q6UXN9	Q6UXN9
Q6YXK4	Q6YXK4
Q6ZW49	Q6ZW49
Q6ZW49	Q6NZQ4
Q6ZY23	Q6ZY23
Q708Y0	Q708Y0
Q712K3	Q712K3
Q712K3	P49427
Q712K3	P63279
Q712K3	P40984
Q712K3	P63146
Q712K3	P68036
Q712K3	A0A6P5C4T4
Q712K3	P62837
Q7KRY6	Q7KRY6
Q7KRY6	Q19848
Q7KRY6	Q86Y07
Q7L523	Q7L523
Q7L523	Q00582
Q7L5N1	Q7L5N1
Q7LBR1	Q7LBR1
Q7LBR1	Q9HD42
Q7LXK4	Q7LXK4
P25445	P25445
P25569	P25569
P25685	P25685
P25815	P25815
P25815	P04271
P25815	P33763
P25815	P06703
P25815	P23297
P26022	P26022
P26358	P26358
P26441	P26441
P26651	P26651
P26651	P22893
P26717	P26717
P26717	Q13241
P26718	P26718
P27487	P27487
P27512	P27512
P27512	P25942
P27512	Q92956
P27512	Q80WM9
P27918	P27918
P28159	P28159
P28223	P28223
P28223	P07550
P28630	P28630
P28631	P28631
P28632	P28632
P28799	P28799
P29066	P29066
P29066	P49407
P29274	P29274
P29323	P29323
P29323	P54762
P29323	P29317
P29323	P54764
P29353	P29353
P29353	G3V8S2
P29353	Q5M824
P29460	P29460
P29475	P29475
P29590	P29590
P30101	P30101
P30101	A0A1S3YEW3
P30101	P10599
P30260	P30260
P30561	P30561
P30872	P30872
P30872	P35346
P30872	P41143
P30872	P50052
P30872	P25106
P30872	P25025
P30872	P25024
P30872	P51679
P30872	Q80KM9
P30872	P51677
P30872	P51681
P30872	P61073
P31152	P31152
P31152	P50750
P31152	Q00526
P31152	P24941
P31152	P00546
P31152	P35567
P31152	P06493
P31152	P18431
P31152	P49840
P31152	P49841
P31152	Q9WV60
P31376	P31376
P31785	P31785
P31948	P31948
P32457	P32457
P32457	P32468
P32457	P25342
P32481	P32481
P32501	P32501
P32501	P56287
P32776	P32776
P32830	P32830
P32830	P87108
P32842	P32842
P32842	P25515
P32844	P32844
P32855	P32855
P32942	P32942
P32942	P05362
P32942	P13597
P33332	P33332
P33421	P33421
P33448	P33448
P34900	P34900
P35226	P35226
P35226	P25916
P35226	Q9BSM1
Q7TSF2	Q7TSF2
Q7TSF2	Q9JI12
Q7TSF2	Q62634
Q7Y0H2	Q7Y0H2
Q7Z434	Q7Z434
Q7Z434	Q8VCF0
Q7Z7J7	Q7Z7J7
Q80ZJ3	Q80ZJ3
Q80ZJ3	O60573
Q80ZJ3	Q8BMB3
Q80ZJ3	P06730
Q83ED6	Q83ED6
Q83ES8	Q83ES8
Q83ES8	A0A2V3F2U6
Q86UT5	Q86UT5
Q86UT5	Q5T2W1
Q86UT5	O14745
Q86UT5	Q15599
Q86V25	Q86V25
Q86V81	Q86V81
Q86VP6	Q86VP6
Q86VX2	Q86VX2
Q86VX2	Q7Z4G1
Q86W24	Q86W24
Q86W24	Q96P20
Q86X55	Q86X55
Q86X55	Q9NR22
Q86X55	Q99873
Q86XL3	Q86XL3
Q8A0S2	Q8A0S2
Q8A1D9	Q8A1D9
Q8A1P7	Q8A1P7
Q8BHK6	Q8BHK6
Q8BPM0	Q8BPM0
Q8C310	Q8C310
Q8CIB5	Q8CIB5
Q8CIB5	Q9BQL6
Q8DG60	Q8DG60
Q8DIN9	Q8DIN9
Q8DIN9	A0ACD6B9L6
Q8DIN9	Q9TM21
Q8DJ02	Q8DJ02
Q8DJZ6	Q8DJZ6
Q8DKF5	Q8DKF5
Q8DKX9	Q8DKX9
Q8DKZ3	Q8DKZ3
Q8DL30	Q8DL30
Q8DL32	Q8DL32
Q8DL32	P0AFD4
Q8DL32	P92558
Q8IRE3	Q8IRE3
Q8IU60	Q8IU60
Q8IUQ4	Q8IUQ4
Q8IUQ4	Q920M9
Q8IV16	Q8IV16
Q8IVW4	Q8IVW4
Q8IVW4	Q00535
Q8IVW4	P21708
Q8IVW4	P27361
Q8IVW4	P28482
Q8IVW4	P46196
Q8IVW4	P45985
Q8IVW4	P47811
Q8IVW4	Q16539
Q8IVW4	P45983
Q8IVW4	P45984
Q8IWJ2	Q8IWJ2
Q8IXK0	Q8IXK0
Q8IZD4	Q8IZD4
Q8IZD4	Q9NPI6
Q8IZQ8	Q8IZQ8
Q8IZQ8	Q969V6
Q8K4C2	Q8K4C2
Q8N0X7	Q8N0X7
Q8N140	Q8N140
Q8N461	Q8N461
Q8N5H7	Q8N5H7
Q8N5H7	O75815
Q8N668	Q8N668
Q8N884	Q8N884
Q8NB16	Q8NB16
Q8NCN4	Q8NCN4
Q8NCT1	Q8NCT1
Q8NCT1	Q96B67
Q8NCT1	Q9H3M7
Q8NDV7	Q8NDV7
Q8NDV7	Q9UPQ9
Q8NG31	Q8NG31
Q8NHL6	Q8NHL6
Q8NHL6	Q8N149
Q8NHL6	Q8N423
Q8NHL6	P43630
Q8NHL6	P43626
Q8NHL6	P43627
Q8NHL6	P43628
Q8NHL6	P43629
Q8NHL6	P43631
Q8NHL6	P43632
Q8NHL6	Q14943
Q8NHM5	Q8NHM5
Q8NHM5	Q9Y2K7
Q8NHY2	Q8NHY2
Q8NHY2	P43254
Q8NHY2	Q9LTJ6
Q8R0I0	Q8R0I0
Q8R0I0	Q9BYF1
Q8R4H2	Q8R4H2
Q8R4H2	O15085
Q8R4L0	Q8R4L0
Q8R511	Q8R511
Q8R511	Q5T0N5
Q8TAF3	Q8TAF3
Q8TDQ0	Q8TDQ0
Q8TDQ0	Q8VIM0
Q8U1Y5	Q8U1Y5
Q8VI63	Q8VI63
Q8VI63	Q7L9L4
Q8VI63	Q9H8S9
Q8VZS8	Q8VZS8
Q8VZS8	Q84MC7
Q8WUF5	Q8WUF5
Q8WV22	Q8WV22
Q8WVM7	Q8WVM7
Q8WWW0	Q8WWW0
Q8WYR1	Q8WYR1
Q8WYR1	O02696
P53840	P53840
P53969	P53969
P54257	P54257
P54257	P54256
P54274	P54274
P54274	P70371
P54784	P54784
P55055	P55055
P55055	Q13133
P55055	Q9Z0Y9
P55055	P11473
P55899	P55899
P55899	Q61559
P55957	P55957
P55957	P70444
P56199	P56199
P56288	P56288
P56704	P56704
P56945	P56945
P59634	P59634
P59634	P0DTC6
P59768	P59768
P60238	P60238
P60239	P60239
P60484	P60484
P60880	P60880
P61024	P61024
P61157	P61157
P61157	P61158
P61157	Q99JY9
P61157	A7MB62
P61157	P61160
P61157	P61161
P61157	F2Z5G5
P61157	P68135
P61157	P60706
P61157	P60709
P61201	P61201
P61221	P61221
P61371	P61371
P61812	P61812
P61812	P01137
P61812	P04202
P61964	P61964
P61964	Q9BZK7
P61964	P63244
P61994	P61994
P61994	D0C9P6
P61994	A0A071L394
P62010	P62010
P62010	Q2FW31
P62913	P62913
P63010	P63010
P63010	Q9DBG3
P63044	P63044
P63044	P63045
P63092	P63092
P63092	P04899
P63092	P20353
P63092	P09471
P63092	P16378
P63092	P21279
P63092	P63096
P63151	P63151
P63151	Q00005
P63165	P63165
P63165	P61956
P67870	P67870
P68363	P68363
P68363	P68366
P68363	Q5XIF6
P68363	Q6P9V9
P68363	Q9BVA1
Q14627	Q14627
Q14669	Q14669
Q14683	Q14683
Q14767	Q14767
Q14767	Q14766
Q14767	Q8N2S1
Q14896	Q14896
Q14BN4	Q14BN4
Q15054	Q15054
Q15078	Q15078
Q15116	Q15116
Q15185	Q15185
Q15185	Q9R0Q7
Q15311	Q15311
Q15369	Q15369
Q15370	Q15370
Q15477	Q15477
Q15477	P42285
Q15596	Q15596
Q15596	Q15788
Q15596	Q9Y6Q9
Q15628	Q15628
Q15633	Q15633
Q15633	O75569
Q15762	Q15762
Q15819	Q15819
Q15942	Q15942
Q16254	Q16254
Q16531	Q16531
Q16543	Q16543
Q16548	Q16548
Q16548	Q07440
Q16581	Q16581
Q16667	Q16667
Q1JQ97	Q1JQ97
Q22MV2	Q22MV2
Q22MV2	A8IY95
Q22R86	Q22R86
Q22VV9	Q22VV9
Q22W32	Q22W32
Q22XT1	Q22XT1
Q23RH8	Q23RH8
Q23S01	Q23S01
Q24306	Q24306
Q29983	Q29983
Q29983	P01901
Q29983	A0A583ZBW8
Q29983	D2IYK1
Q29983	P01889
Q29983	P04439
Q29983	P10321
Q29983	P17693
Q29983	P30511
Q29983	Q861F7
Q29983	P70387
Q29983	Q30201
Q29983	Q95460
Q2F514	Q2F514
Q2F514	Q9QMH9
Q2FME3	Q2FME3
Q2FRK1	Q2FRK1
Q2FRL9	Q2FRL9
Q2FW18	Q2FW18
Q2G2Q4	Q2G2Q4
Q32KD4	Q32KD4
Q32KD4	Q9UL18
Q32P73	Q32P73
Q32P73	Q6NLH0
Q32P73	P27999
Q381A0	Q381A0
Q38876	Q38876
Q38876	Q9FVC1
Q38876	Q9SZJ6
Q389F5	Q389F5
Q389W4	Q389W4
Q39204	Q39204
Q39204	Q9FIP9
Q39584	Q39584
Q39615	Q39615
Q3E7C1	Q3E7C1
Q3E830	Q3E830
A8IH07	A8IH07
A8IH07	A8IXD6
A8IJ60	A8IJ60
A8IJ60	A8IL21
A8IJ60	A8INX1
A8IJY7	A8IJY7
A8IJY7	A0A2K3DG79
A8J353	A8J353
A8J3C3	A8J3C3
A8J6N0	A8J6N0
A9WEV4	A9WEV4
A9WEV6	A9WEV6
A9WEV7	A9WEV7
B3H6Z4	B3H6Z4
B5YM25	B5YM25
B5YM25	B8CEQ3
B5YM25	B7FRW2
B6TR16	B6TR16
B6TR16	A0A0M3KL11
B6TR16	A0A2K1JLW2
B6TR16	P36886
B6TR16	A0A4V8GZZ4
B6TR16	P14225
B7U179	B7U179
B8BRQ8	B8BRQ8
B8BUW3	B8BUW3
B8C770	B8C770
B8LEV1	B8LEV1
B8LEV1	P10793
C3SR12	C3SR12
C3SR12	E2RXT9
C3SR12	P0A7W7
C3SR12	Q83ER2
D0CD01	D0CD01
D0CD06	D0CD06
D0UZS0	D0UZS0
D0UZS0	Q2HR75
D3ZYG0	D3ZYG0
E2RXT0	E2RXT0
F1M951	F1M951
F1M951	Q9H3S7
F1MSX6	F1MSX6
F1N4X0	F1N4X0
F8VQ72	F8VQ72
F8VQ72	Q62925
F8VQ72	O14965
G0RZG4	G0RZG4
G0RZX8	G0RZX8
G0S1P1	G0S1P1
G0S3J8	G0S3J8
G0S8E0	G0S8E0
G0S9A0	G0S9A0
G0SC21	G0SC21
G0SC21	Q5RKV6
G0SCD1	G0SCD1
G0SE33	G0SE33
G0SH09	G0SH09
G3MXC8	G3MXC8
G3MXC8	O15511
G3MXC8	Q3SYX9
G3MXC8	Q9BPX5
G3V9R2	G3V9R2
G3V9R2	P08603
G3V9R2	Q03591
G3V9R2	P36980
G5E899	G5E899
G5E899	P05121
I7M8B9	I7M8B9
I7MCM8	I7MCM8
I7MCM8	Q1HFX0
I7MCM8	Q24DI9
I7MCM8	A4VE64
I7MCM8	Q1HFW2
K4G2D7	K4G2D7
K4G2D7	Q77YB1
O00170	O00170
O00206	O00206
O00206	Q9QUK6
O00220	O00220
O00220	O14763
O00255	O00255
O00401	O00401
O00401	P42768
O00459	O00459
O00459	P23727
O00459	P26450
O00459	P27986
Q06245	Q06245
Q06265	Q06265
Q06265	G0S755
Q06406	Q06406
Q06587	Q06587
Q06587	Q99496
Q06609	Q06609
Q06609	Q8MKI8
Q06797	Q06797
Q06884	Q06884
Q06AT4	Q06AT4
Q06AT4	Q06AT5
Q07157	Q07157
Q07157	P39447
Q07157	Q9UDY2
Q07157	Q9Z0U1
Q07657	Q07657
Q07666	Q07666
Q07666	Q60749
Q07820	Q07820
Q07820	P97287
Q07912	Q07912
Q07912	Q9UJM3
Q07913	Q07913
Q08162	Q08162
Q08491	Q08491
Q08722	Q08722
Q08749	Q08749
Q08999	Q08999
Q08999	P28749
Q0IIM2	Q0IIM2
Q0IIM2	P40616
Q0IIM2	P84077
Q12049	Q12049
Q12149	Q12149
Q12250	Q12250
Q12464	Q12464
Q12464	Q9Y265
Q12509	Q12509
Q12809	Q12809
Q12809	O95259
Q12809	Q63472
Q12824	Q12824
Q12888	Q12888
Q12959	Q12959
Q12959	P31016
Q12959	P78352
Q12959	Q92796
Q12959	Q8N3R9
Q13094	Q13094
Q13098	Q13098
Q13131	Q13131
Q13131	Q5EG47
Q13131	P92958
Q13131	Q38997
Q13131	Q940H6
Q13131	Q39193
Q13148	Q13148
Q13148	Q921F2
Q13153	Q13153
Q13153	Q13177
Q13153	Q8CIN4
Q13153	Q13188
Q13153	Q07174
Q13158	Q13158
Q13158	Q61160
Q13202	Q13202
Q13202	Q05923
Q13263	Q13263
Q13309	Q13309
Q13323	Q13323
Q13323	O70337
Q13415	Q13415
Q13418	Q13418
Q13451	Q13451
Q13451	P26883
Q13451	P68106
Q13485	Q13485
Q13485	P97471
Q13485	O15198
Q13485	Q15796
Q13485	P84022
Q13485	Q15797
Q13490	Q13490
Q13490	Q13489
Q13490	P98170
Q13490	Q24307
Q13490	Q96CA5
Q13541	Q13541
Q13546	Q13546
Q13546	Q9Y572
Q13546	Q9QZL0
Q13563	Q13563
Q13568	Q13568
Q13568	Q14653
Q13568	Q15306
Q13569	Q13569
Q13596	Q13596
Q13596	O60749
Q13620	Q13620
Q13620	Q13619
Q13620	Q94AH6
Q13620	Q13616
Q13620	Q13617
Q13620	Q13618
Q13620	Q9ZVH4
Q13627	Q13627
Q13627	Q9Y463
Q13627	Q8NE63
Q13627	Q9BXA6
Q13627	P49761
Q13873	Q13873
Q13873	Q13705
Q13873	Q04771
Q13905	Q13905
Q13951	Q13951
Q14145	Q14145
Q14145	Q9UH77
Q14242	Q14242
Q14247	Q14247
Q14247	Q60598
Q14393	Q14393
Q14393	P07225
Q14494	Q14494
Q14494	Q9WTM4
