panel	dataset	score
6b	Negatome direct	9.3e-05
6b	Negatome direct	5.5e-05
6b	Negatome direct	0.00135
6b	Negatome direct	7.5e-05
6b	Negatome direct	5.9e-05
6b	Negatome direct	5.5e-05
6b	Negatome direct	5.5e-05
6b	Negatome direct	5.7e-05
6b	Negatome direct	0.999785
6b	Negatome direct	9e-05
6b	Negatome direct	0.0023
6b	Negatome direct	7e-05
6b	Negatome direct	7.9e-05
6b	Negatome direct	5.9e-05
6b	Negatome direct	7.6e-05
6b	Negatome direct	0.000123
6b	Negatome direct	9.4e-05
6b	Negatome direct	0.003881
6b	Negatome direct	0.001822
6b	Negatome direct	6.2e-05
6b	Negatome direct	0.001574
6b	Negatome direct	0.000413
6b	Negatome direct	5.1e-05
6b	Negatome direct	0.002692
6b	Negatome direct	9.8e-05
6b	Negatome direct	5.8e-05
6b	Negatome direct	0.000143
6b	Negatome direct	0.012766
6b	Negatome direct	0.002745
6b	Negatome direct	0.010243
6b	Negatome direct	6.5e-05
6b	Negatome direct	5.6e-05
6b	Negatome direct	5.7e-05
6b	Negatome direct	0.001076
6b	Negatome direct	0.130826
6b	Negatome direct	9.8e-05
6b	Negatome direct	0.005351
6b	Negatome direct	0.000236
6b	Negatome direct	6.1e-05
6b	Negatome direct	0.00036
6b	Negatome direct	0.004697
6b	Negatome direct	0.113827
6b	Negatome direct	0.00342
6b	Negatome direct	0.999672
6b	Negatome direct	0.009591
6b	Negatome direct	0.950367
6b	Negatome direct	5.6e-05
6b	Negatome direct	0.000777
6b	Negatome direct	0.970594
6b	Negatome direct	0.00026
6b	Negatome direct	0.999779
6b	Negatome direct	0.00018
6b	Negatome direct	0.995105
6b	Negatome direct	0.311468
6b	Negatome direct	0.998808
6b	Negatome direct	0.956495
6b	Negatome direct	0.97879
6b	Negatome direct	0.002754
6b	Negatome direct	7.5e-05
6b	Negatome direct	0.000144
6b	Negatome direct	0.999733
6b	Negatome direct	0.134419
6b	Negatome direct	0.00019
6b	Negatome direct	0.969421
6b	Negatome direct	0.000162
6b	Negatome direct	0.001016
6b	Negatome direct	0.997883
6b	Negatome direct	0.988165
6b	Negatome direct	0.000154
6b	Negatome direct	0.999877
6b	Negatome direct	0.99991
6b	Negatome direct	0.963985
6b	Negatome direct	0.998338
6b	Negatome direct	0.052704
6b	Negatome direct	0.000813
6b	Negatome direct	0.000594
6b	Negatome direct	6.6e-05
6b	Negatome direct	6.2e-05
6b	Negatome direct	6.7e-05
6b	Negatome direct	0.000155
6b	Negatome direct	0.975278
6b	Negatome direct	9.5e-05
6b	Negatome direct	0.003373
6b	Negatome direct	9.4e-05
6b	Negatome direct	7.3e-05
6b	Negatome direct	8.9e-05
6b	Negatome direct	6.3e-05
6b	Negatome direct	0.000168
6b	Negatome direct	0.00047
6b	Negatome direct	0.570675
6b	Negatome direct	0.982779
6b	Negatome direct	0.999464
6b	Negatome direct	0.999584
6b	Negatome direct	0.000129
6b	Negatome direct	0.019099
6b	Negatome direct	0.075789
6b	Negatome direct	0.995185
6b	Negatome direct	0.998828
6b	Negatome direct	0.023957
6b	Negatome direct	0.679989
6b	Negatome direct	8.1e-05
6b	Negatome direct	6e-05
6b	Negatome direct	0.000123
6b	Negatome direct	5.3e-05
6b	Negatome direct	0.002524
6b	Negatome direct	0.000438
6b	Negatome direct	0.000268
6b	Negatome direct	6.5e-05
6b	Negatome direct	0.000101
6b	Negatome direct	0.000116
6b	Negatome direct	0.000127
6b	Negatome direct	8.5e-05
6b	Negatome direct	0.999799
6b	Negatome direct	0.999738
6b	Negatome direct	0.999776
6b	Negatome direct	0.999815
6b	Negatome direct	0.999824
6b	Negatome direct	0.994626
6b	Negatome direct	0.999422
6b	Negatome direct	0.997412
6b	Negatome direct	0.99893
6b	Negatome direct	0.96835
6b	Negatome direct	0.837371
6b	Negatome direct	0.989327
6b	Negatome direct	0.473652
6b	Negatome direct	0.00293
6b	Negatome direct	0.000667
6b	Negatome direct	0.003018
6b	Negatome direct	0.880066
6b	Negatome direct	0.003822
6b	Negatome direct	0.005339
6b	Negatome direct	0.000944
6b	Negatome direct	0.886498
6b	Negatome direct	0.011828
6b	Negatome direct	0.09657
6b	Negatome direct	0.996642
6b	Negatome direct	0.000108
6b	Negatome direct	0.939423
6b	Negatome direct	6.2e-05
6b	Negatome direct	0.000198
6b	Negatome direct	5.4e-05
6b	Negatome direct	5.8e-05
6b	Negatome direct	5.4e-05
6b	Negatome direct	7.7e-05
6b	Negatome direct	0.004002
6b	Negatome direct	5.3e-05
6b	Negatome direct	0.018707
6b	Negatome direct	7.8e-05
6b	Negatome direct	5e-05
6b	Negatome direct	0.000134
6b	Negatome direct	5.5e-05
6b	Negatome direct	0.000201
6b	Negatome direct	0.000119
6b	Negatome direct	0.999642
6b	Negatome direct	0.999874
6b	Negatome direct	0.000315
6b	Negatome direct	6e-05
6b	Negatome direct	6.4e-05
6b	Negatome direct	0.000118
6b	Negatome direct	7.7e-05
6b	Negatome direct	0.000179
6b	Negatome direct	0.039767
6b	Negatome direct	7.4e-05
6b	Negatome direct	9.2e-05
6b	Negatome direct	7.1e-05
6b	Negatome direct	5.8e-05
6b	Negatome direct	6.7e-05
6b	Negatome direct	6e-05
6b	Negatome direct	0.000181
6b	Negatome direct	6.6e-05
6b	Negatome direct	0.000932
6b	Negatome direct	5.2e-05
6b	Negatome direct	5.2e-05
6b	Negatome direct	0.000256
6b	Negatome direct	7.3e-05
6b	Negatome direct	0.000149
6b	Negatome direct	5.8e-05
6b	Negatome direct	6.3e-05
6b	Negatome direct	8.8e-05
6b	Negatome direct	0.000569
6b	Negatome direct	0.001931
6b	Negatome direct	0.000229
6b	Negatome direct	0.000675
6b	Negatome direct	7.5e-05
6b	Negatome direct	6.5e-05
6b	Negatome direct	7.6e-05
6b	Negatome direct	6.1e-05
6b	Negatome direct	0.003689
6b	Negatome direct	0.00011
6b	Negatome direct	0.000372
6b	Negatome direct	0.006917
6b	Negatome direct	0.014567
6b	Negatome direct	0.987045
6b	Negatome direct	0.00759
6b	Negatome direct	5e-05
6b	Negatome direct	0.001668
6b	Negatome direct	0.003579
6b	Negatome direct	0.119616
6b	Negatome direct	0.000391
6b	Negatome direct	0.01121
6b	Negatome direct	6.7e-05
6b	Negatome direct	0.000572
6b	Negatome direct	0.30914
6b	Negatome direct	0.003775
6b	Negatome direct	0.00043
6b	Negatome direct	0.001075
6b	Negatome direct	0.000105
6b	Negatome direct	0.000102
6b	Negatome direct	8.4e-05
6b	Negatome direct	0.000166
6b	Negatome direct	6.4e-05
6b	Negatome direct	0.000711
6b	Negatome direct	0.000617
6b	Negatome direct	0.999664
6b	Negatome direct	0.000125
6b	Negatome direct	0.000617
6b	Negatome direct	6.4e-05
6b	Negatome direct	7.2e-05
6b	Negatome direct	0.999907
6b	Negatome direct	6.6e-05
6b	Negatome direct	9.5e-05
6b	Negatome direct	0.000237
6b	Negatome direct	0.000391
6b	Negatome direct	0.000108
6b	Negatome direct	9.2e-05
6b	Negatome direct	0.999761
6b	ProtNeg direct	0.000168
6b	ProtNeg direct	0.999581
6b	ProtNeg direct	0.999641
6b	ProtNeg direct	0.016756
6b	ProtNeg direct	0.045289
6b	ProtNeg direct	7.7e-05
6b	ProtNeg direct	7.2e-05
6b	ProtNeg direct	0.274022
6b	ProtNeg direct	0.768964
6b	ProtNeg direct	0.000797
6b	ProtNeg direct	0.001563
6b	ProtNeg direct	0.00768
6b	ProtNeg direct	0.009547
6b	ProtNeg direct	0.00018
6b	ProtNeg direct	0.011475
6b	ProtNeg direct	0.000166
6b	ProtNeg direct	0.61986
6b	ProtNeg direct	0.998906
6b	ProtNeg direct	6.8e-05
6b	ProtNeg direct	0.000198
6b	ProtNeg direct	5.4e-05
6b	ProtNeg direct	0.029219
6b	ProtNeg direct	5.1e-05
6b	ProtNeg direct	0.016229
6b	ProtNeg direct	0.000668
6b	ProtNeg direct	5.1e-05
6b	ProtNeg direct	0.111728
6b	ProtNeg direct	0.000188
6b	ProtNeg direct	0.002031
6b	ProtNeg direct	0.015469
6b	ProtNeg direct	0.223078
6b	ProtNeg direct	0.010455
6b	ProtNeg direct	0.008145
6b	ProtNeg direct	8.1e-05
6b	ProtNeg direct	0.000163
6b	ProtNeg direct	0.000206
6b	ProtNeg direct	0.999767
6b	ProtNeg direct	0.999753
6b	ProtNeg direct	0.994297
6b	ProtNeg direct	0.000111
6b	ProtNeg direct	9.6e-05
6b	ProtNeg direct	0.996266
6b	ProtNeg direct	0.074211
6b	ProtNeg direct	0.004918
6b	ProtNeg direct	0.00748
6b	ProtNeg direct	8.4e-05
6b	ProtNeg direct	0.000711
6b	ProtNeg direct	0.000289
6b	ProtNeg direct	0.26388
6b	ProtNeg direct	0.999853
6b	ProtNeg direct	0.586406
6b	ProtNeg direct	0.000191
6b	ProtNeg direct	0.927634
6b	ProtNeg direct	0.000112
6b	ProtNeg direct	0.04032
6b	ProtNeg direct	0.000102
6b	ProtNeg direct	0.000918
6b	ProtNeg direct	0.284363
6b	ProtNeg direct	0.00098
6b	ProtNeg direct	0.000761
6b	ProtNeg direct	0.060295
6b	ProtNeg direct	0.001109
6b	ProtNeg direct	0.99967
6b	ProtNeg direct	0.040016
6b	ProtNeg direct	6.2e-05
6b	ProtNeg direct	0.997836
6b	ProtNeg direct	0.003982
6b	ProtNeg direct	0.147594
6b	ProtNeg direct	0.000186
6b	ProtNeg direct	0.039474
6b	ProtNeg direct	0.019223
6b	ProtNeg direct	0.75063
6b	ProtNeg direct	9.1e-05
6b	ProtNeg direct	0.057622
6b	ProtNeg direct	0.545917
6b	ProtNeg direct	0.000266
6b	ProtNeg direct	0.999921
6b	ProtNeg direct	0.713073
6b	ProtNeg direct	0.27587
6b	ProtNeg direct	8e-05
6b	ProtNeg direct	0.000145
6b	ProtNeg direct	0.997864
6b	ProtNeg direct	0.999419
6b	ProtNeg direct	0.016205
6b	ProtNeg direct	0.011571
6b	ProtNeg direct	0.002059
6b	ProtNeg direct	0.000383
6b	ProtNeg direct	0.997847
6b	ProtNeg direct	0.000749
6b	ProtNeg direct	0.004863
6b	ProtNeg direct	0.000145
6b	ProtNeg direct	0.886773
6b	ProtNeg direct	0.002303
6b	ProtNeg direct	0.000898
6b	ProtNeg direct	6.5e-05
6b	ProtNeg direct	0.990535
6b	ProtNeg direct	0.951071
6b	ProtNeg direct	6.6e-05
6b	ProtNeg direct	0.997441
6b	ProtNeg direct	0.001397
6b	ProtNeg direct	0.049446
6b	ProtNeg direct	0.003636
6b	ProtNeg direct	0.001279
6b	ProtNeg direct	0.993678
6b	Structural noncontact	0.999832
6b	Structural noncontact	0.999868
6b	Structural noncontact	0.999834
6b	Structural noncontact	0.011057
6b	Structural noncontact	0.999108
6b	Structural noncontact	0.036595
6b	Structural noncontact	0.000131
6b	Structural noncontact	0.875311
6b	Structural noncontact	0.798163
6b	Structural noncontact	0.999917
6b	Structural noncontact	0.999854
6b	Structural noncontact	0.999745
6b	Structural noncontact	0.015376
6b	Structural noncontact	0.007399
6b	Structural noncontact	0.999943
6b	Structural noncontact	0.043247
6b	Structural noncontact	0.999689
6b	Structural noncontact	0.999758
6b	Structural noncontact	0.998474
6b	Structural noncontact	0.001442
6b	Structural noncontact	0.30962
6b	Structural noncontact	0.005911
6b	Structural noncontact	0.999927
6b	Structural noncontact	0.999388
6b	Structural noncontact	0.999933
6b	Structural noncontact	0.999938
6b	Structural noncontact	0.99907
6b	Structural noncontact	0.999818
6b	Structural noncontact	0.014606
6b	Structural noncontact	0.013628
6b	Structural noncontact	0.001721
6b	Structural noncontact	0.999761
6b	Structural noncontact	0.000706
6b	Structural noncontact	0.999823
6b	Structural noncontact	0.889198
6b	Structural noncontact	0.999934
6b	Structural noncontact	0.999436
6b	Structural noncontact	0.999926
6b	Structural noncontact	0.999908
6b	Structural noncontact	0.999637
6b	Structural noncontact	0.999801
6b	Structural noncontact	0.99954
6b	Structural noncontact	0.9988
6b	Structural noncontact	0.999728
6b	Structural noncontact	0.999283
6b	Structural noncontact	0.996724
6b	Structural noncontact	0.000646
6b	Structural noncontact	0.011782
6b	Structural noncontact	0.003683
6b	Structural noncontact	0.998362
6b	Structural noncontact	0.997464
6b	Structural noncontact	0.999918
6b	Structural noncontact	0.999935
6b	Structural noncontact	0.000536
6b	Structural noncontact	0.999937
6b	Structural noncontact	0.017114
6b	Structural noncontact	0.999802
6b	Structural noncontact	0.997002
6b	Structural noncontact	0.979387
6b	Structural noncontact	0.999611
6b	Structural noncontact	0.948299
6b	Structural noncontact	0.733644
6b	Structural noncontact	0.015314
6b	Structural noncontact	0.999942
6b	Structural noncontact	0.999905
6b	Structural noncontact	0.000375
6b	Structural noncontact	0.997992
6b	Structural noncontact	0.000126
6b	Structural noncontact	0.008311
6b	Structural noncontact	0.999642
6b	Structural noncontact	0.994938
6b	Structural noncontact	0.999785
6b	Structural noncontact	0.999913
6b	Structural noncontact	0.99302
6b	Structural noncontact	0.003988
6b	Structural noncontact	0.00046
6b	Structural noncontact	0.235185
6b	Structural noncontact	0.999858
6b	Structural noncontact	0.999263
6b	Structural noncontact	0.999668
6b	Structural noncontact	0.99042
6b	Structural noncontact	0.999622
6b	Structural noncontact	0.999947
6b	Structural noncontact	0.999944
6b	Structural noncontact	0.999889
6b	Structural noncontact	0.999838
6b	Structural noncontact	0.002933
6b	Structural noncontact	0.012734
6b	Structural noncontact	0.001613
6b	Structural noncontact	0.998194
6b	Structural noncontact	0.999703
6b	Structural noncontact	0.015678
6b	Structural noncontact	0.994053
6b	Structural noncontact	0.000538
6b	Structural noncontact	0.05377
6b	Structural noncontact	0.999705
6b	Structural noncontact	0.061902
6b	Structural noncontact	5.5e-05
6b	Structural noncontact	0.999926
6b	Structural noncontact	0.999904
6b	Structural noncontact	0.999692
6b	Structural noncontact	0.999889
6b	Structural noncontact	0.00016
6b	Structural noncontact	0.999923
6b	Structural noncontact	0.992481
6b	Structural noncontact	0.99994
6b	Structural noncontact	7e-05
6b	Structural noncontact	0.014965
6b	Structural noncontact	0.00839
6b	Structural noncontact	0.501037
6b	Structural noncontact	0.075006
6b	Structural noncontact	0.983979
6b	Structural noncontact	0.999767
6b	Structural noncontact	0.995168
6b	Structural noncontact	0.997835
6b	Structural noncontact	0.796004
6b	Structural noncontact	0.99988
6b	Structural noncontact	0.000775
6b	Structural noncontact	0.999871
6b	Structural noncontact	0.000251
6b	Structural noncontact	0.999666
6b	Structural noncontact	0.011037
6b	Structural noncontact	0.999918
6b	Structural noncontact	0.966151
6b	Structural noncontact	0.999918
6b	Structural noncontact	0.999222
6b	Structural noncontact	0.999732
6b	Structural noncontact	0.99993
6b	Structural noncontact	0.016984
6b	Structural noncontact	0.999792
6b	Structural noncontact	0.999867
6b	Structural noncontact	0.999436
6b	Structural noncontact	0.998873
6b	Structural noncontact	0.993164
6b	Structural noncontact	0.999788
6b	Structural noncontact	0.99924
6b	Structural noncontact	0.999942
6b	Structural noncontact	0.999592
6b	Structural noncontact	0.004395
6b	Structural noncontact	0.000675
6b	Structural noncontact	0.999926
6b	Structural noncontact	0.997181
6b	Structural noncontact	0.999917
6b	Structural noncontact	0.999842
6b	Structural noncontact	0.99982
6b	Structural noncontact	0.999916
6b	Structural noncontact	0.001145
6b	Structural noncontact	0.000759
6b	Structural noncontact	0.999821
6b	Structural noncontact	0.152967
6b	Structural noncontact	0.997769
6b	Structural noncontact	0.000453
6b	Structural noncontact	0.999896
6b	Structural noncontact	0.997815
6b	Structural noncontact	0.998136
6b	Structural noncontact	0.999936
6b	Structural noncontact	0.000928
6b	Structural noncontact	0.013263
6b	Structural noncontact	0.998296
6b	Structural noncontact	0.013842
6b	Structural noncontact	0.999754
6b	Structural noncontact	0.996323
6b	Structural noncontact	0.999311
6b	Structural noncontact	0.054383
6b	Structural noncontact	0.998244
6b	Structural noncontact	0.114531
6b	Structural noncontact	0.99973
6b	Structural noncontact	0.002814
6b	Structural noncontact	0.010953
6b	Structural noncontact	0.999834
6b	Structural noncontact	0.048011
6b	Structural noncontact	0.0101
6b	Structural noncontact	0.996357
6b	Structural noncontact	0.996645
6b	Structural noncontact	0.926301
6b	Structural noncontact	0.00308
6b	Structural noncontact	0.002525
6b	Structural noncontact	0.999908
6b	Structural noncontact	0.999932
6b	Structural noncontact	0.999429
6b	Structural noncontact	0.999936
6b	Structural noncontact	0.999849
6b	Structural noncontact	0.027895
6b	Structural noncontact	0.999952
6b	Structural noncontact	0.994476
6b	Structural noncontact	0.999932
6b	Structural noncontact	0.999889
6b	Structural noncontact	0.973665
6b	Structural noncontact	0.979292
6b	Structural noncontact	0.999893
6b	Structural noncontact	0.000633
6b	Structural noncontact	0.020824
6b	Structural noncontact	0.000922
6b	Structural noncontact	0.999213
6b	Structural noncontact	6.6e-05
6b	Structural noncontact	0.983427
6b	Structural noncontact	0.999818
6b	Structural noncontact	0.999932
6b	Structural noncontact	0.999938
6b	Structural noncontact	0.999838
6b	Structural noncontact	0.996597
6b	Structural noncontact	0.158365
6b	Structural noncontact	0.000638
6b	Structural noncontact	5.3e-05
6b	Structural noncontact	0.80679
6b	Structural noncontact	0.000505
6b	Structural noncontact	0.000545
6b	Structural noncontact	0.003864
6b	Structural noncontact	0.997606
6b	Structural noncontact	0.000557
6b	Structural noncontact	0.005184
6b	Structural noncontact	0.999878
6b	Structural noncontact	0.999937
6b	Structural noncontact	0.000381
6b	Structural noncontact	0.005656
6b	Structural noncontact	0.00058
6b	Structural noncontact	0.983205
6b	Structural noncontact	0.002362
6b	Structural noncontact	0.999933
6b	Structural noncontact	0.000155
6b	Structural noncontact	0.903751
6b	Structural noncontact	0.38765
6b	Structural noncontact	0.999709
6b	Structural noncontact	0.999902
6b	Structural noncontact	0.999561
6b	Structural noncontact	0.998192
6b	Structural noncontact	0.99993
6b	Structural noncontact	0.053278
6b	Structural noncontact	0.141931
6b	Structural noncontact	0.999144
6b	Structural noncontact	0.99994
6b	Structural noncontact	0.999206
6b	Structural noncontact	0.836748
6b	Structural noncontact	0.997642
6b	Structural noncontact	0.229207
6b	Structural noncontact	0.999292
6b	Structural noncontact	0.000539
6b	Structural noncontact	0.812877
6b	Structural noncontact	0.006817
6b	Structural noncontact	0.999908
6b	Structural noncontact	0.999919
6b	Structural noncontact	0.987333
6b	Structural noncontact	0.999858
6b	Structural noncontact	0.583316
6b	Structural noncontact	0.999805
6b	Structural noncontact	0.999857
6b	Structural noncontact	0.99944
6b	Structural noncontact	0.999832
6b	Structural noncontact	0.995807
6b	Structural noncontact	0.496544
6b	Structural noncontact	0.999921
6b	Structural noncontact	0.000606
6b	Structural noncontact	0.012311
6b	Structural noncontact	0.00247
6b	Structural noncontact	0.004733
6b	Structural noncontact	0.001089
6b	Structural noncontact	0.99966
6b	Structural noncontact	0.999706
6b	Structural noncontact	0.389356
6b	Structural noncontact	0.000289
6b	Structural noncontact	0.999934
6b	Structural noncontact	0.000436
6b	Structural noncontact	0.999652
6b	Structural noncontact	0.290346
6b	Structural noncontact	0.998566
6b	Structural noncontact	0.999947
6b	Structural noncontact	0.999762
6b	Structural noncontact	0.999934
6b	Structural noncontact	0.020317
6b	Structural noncontact	0.003287
6b	Structural noncontact	0.99982
6b	Structural noncontact	0.999059
6b	Structural noncontact	0.999946
6b	Structural noncontact	0.000721
6b	Structural noncontact	0.146805
6b	Structural noncontact	6.6e-05
6b	Structural noncontact	0.001249
6b	Structural noncontact	0.99941
6b	Structural noncontact	0.999943
6b	Structural noncontact	0.99897
6b	Structural noncontact	0.999934
6b	Structural noncontact	0.999731
6b	Structural noncontact	0.999915
6b	Structural noncontact	0.895074
6b	Structural noncontact	0.999158
6b	Structural noncontact	0.995966
6b	Structural noncontact	0.99985
6b	Structural noncontact	0.997869
6b	Structural noncontact	5.1e-05
6b	Structural noncontact	0.999674
6b	Structural noncontact	0.999746
6b	Structural noncontact	0.99467
6b	Structural noncontact	0.999907
6b	Structural noncontact	0.149619
6b	Structural noncontact	0.999949
6b	Structural noncontact	0.031951
6b	Structural noncontact	0.00774
6b	Structural noncontact	0.999888
6b	Structural noncontact	0.997388
6b	Structural noncontact	0.001457
6b	Structural noncontact	0.999515
6b	Structural noncontact	0.999939
6b	Structural noncontact	0.008944
6b	Structural noncontact	0.999098
6b	Structural noncontact	0.999843
6b	Structural noncontact	0.028038
6b	Structural noncontact	0.99994
6b	Structural noncontact	0.980869
6b	Structural noncontact	0.999251
6b	Structural noncontact	0.999935
6b	Structural noncontact	0.139282
6b	Structural noncontact	0.999932
6b	Structural noncontact	0.000355
6b	Structural noncontact	0.91449
6b	Structural noncontact	0.999361
6b	Structural noncontact	0.031885
6b	Structural noncontact	0.000353
6b	Structural noncontact	0.999755
6b	Structural noncontact	0.998042
6b	Structural noncontact	0.994397
6b	Structural noncontact	0.999453
6b	Structural noncontact	0.999252
6b	Structural noncontact	0.999907
6b	Structural noncontact	0.999942
6b	Structural noncontact	0.999135
6b	Structural noncontact	0.999921
6b	Structural noncontact	0.996488
6b	Structural noncontact	0.999787
6b	Structural noncontact	0.997814
6b	Structural noncontact	0.002137
6b	Structural noncontact	0.999901
6b	Structural noncontact	0.999403
6b	Structural noncontact	0.999937
6b	Structural noncontact	0.019027
6b	Structural noncontact	0.984199
6b	Structural noncontact	0.999305
6b	Structural noncontact	0.010291
6b	Structural noncontact	0.999926
6b	Structural noncontact	0.99986
6b	Structural noncontact	0.999738
6b	Structural noncontact	0.995498
6b	Structural noncontact	0.999649
6b	Structural noncontact	0.999939
6b	Structural noncontact	0.080319
6b	Structural noncontact	0.999211
6b	Structural noncontact	0.999778
6b	Structural noncontact	0.765769
6b	Structural noncontact	0.01118
6b	Structural noncontact	0.147086
6b	Structural noncontact	0.006317
6b	Structural noncontact	0.999478
6b	Structural noncontact	0.999631
6b	Structural noncontact	0.996946
6b	Structural noncontact	0.996645
6b	Structural noncontact	0.583086
6b	Structural noncontact	0.000342
6b	Structural noncontact	0.999946
6b	Structural noncontact	0.999939
6b	Structural noncontact	0.999931
6b	Structural noncontact	0.005919
6b	Structural noncontact	0.999565
6b	Structural noncontact	0.998771
6b	Structural noncontact	0.999714
6b	Structural noncontact	0.999813
6b	Structural noncontact	0.018095
6b	Structural noncontact	0.01799
6b	Structural noncontact	0.999728
6b	Structural noncontact	0.997887
6b	Structural noncontact	9.3e-05
6b	Structural noncontact	0.005357
6b	Structural noncontact	0.998252
6b	Structural noncontact	0.472526
6b	Structural noncontact	0.999907
6b	Structural noncontact	0.051274
6b	Structural noncontact	0.123563
6b	Structural noncontact	0.999906
6b	Structural noncontact	0.999887
6b	Structural noncontact	0.999906
6b	Structural noncontact	0.025024
6b	Structural noncontact	0.010236
6b	Structural noncontact	0.999837
6b	Structural noncontact	0.712015
6b	Structural noncontact	0.000242
6b	Structural noncontact	0.999891
6b	Structural noncontact	0.999465
6b	Structural noncontact	0.289652
6b	Structural noncontact	0.955575
6b	Structural noncontact	0.000166
6b	Structural noncontact	0.915044
6b	Structural noncontact	0.067497
6b	Structural noncontact	0.996667
6b	Structural noncontact	0.999656
6b	Structural noncontact	0.998705
6b	Structural noncontact	0.999883
6b	Structural noncontact	0.999861
6b	Structural noncontact	0.000332
6b	Structural noncontact	0.982837
6b	Structural noncontact	0.000106
6b	Structural noncontact	0.006627
6b	Structural noncontact	0.999766
6b	Structural noncontact	0.994856
6b	Structural noncontact	0.999016
6b	Structural noncontact	0.007576
6b	Structural noncontact	6.7e-05
6b	Structural noncontact	0.001677
6b	Structural noncontact	0.999923
6b	Structural noncontact	0.014479
6b	Structural noncontact	0.999868
6b	Structural noncontact	0.998453
6b	Structural noncontact	0.999944
6b	Structural noncontact	0.000226
6b	Structural noncontact	0.999871
6b	Structural noncontact	0.999503
6b	Structural noncontact	0.047556
6b	Structural noncontact	0.594523
6b	Structural noncontact	0.999922
6b	Structural noncontact	0.54364
6b	Structural noncontact	0.988369
6b	Structural noncontact	0.991709
6b	Structural noncontact	0.999912
6b	Structural noncontact	0.001489
6b	Structural noncontact	0.999939
6b	Structural noncontact	0.001258
6b	Structural noncontact	0.999867
6b	Structural noncontact	0.999897
6b	Structural noncontact	0.284923
6b	Structural noncontact	0.000115
6b	Structural noncontact	0.999948
6b	Structural noncontact	0.647298
6b	Structural noncontact	0.972936
6b	Structural noncontact	0.973282
6b	Structural noncontact	0.000735
6b	Structural noncontact	8.5e-05
6b	Structural noncontact	0.005954
6b	Structural noncontact	0.999944
6b	Structural noncontact	0.000319
6b	Structural noncontact	0.350685
6b	Structural noncontact	0.01691
6b	Structural noncontact	0.999894
6b	Structural noncontact	0.902579
6b	Structural noncontact	0.996165
6b	Structural noncontact	0.999851
6b	Structural noncontact	0.999941
6b	Structural noncontact	0.997612
6b	Structural noncontact	0.999923
6b	Structural noncontact	0.005946
6b	Structural noncontact	0.000231
6b	Structural noncontact	0.99985
6b	Structural noncontact	0.950249
6b	Structural noncontact	0.999823
6b	Structural noncontact	0.999924
6b	Structural noncontact	0.999828
6b	Structural noncontact	0.000471
6b	Structural noncontact	0.999839
6b	Structural noncontact	0.999926
6b	Structural noncontact	0.000409
6b	Structural noncontact	0.0011
6b	Structural noncontact	0.903803
6b	Structural noncontact	0.98831
6b	Structural noncontact	0.001394
6b	Structural noncontact	0.935363
6b	Structural noncontact	0.993881
6b	Structural noncontact	0.99945
6b	Structural noncontact	0.99945
6b	Structural noncontact	0.999908
6b	Structural noncontact	0.999817
6b	Structural noncontact	0.000376
6b	Structural noncontact	0.000678
6b	Structural noncontact	0.002849
6b	Structural noncontact	0.01478
6b	Structural noncontact	0.996625
6b	Structural noncontact	0.954756
6b	Structural noncontact	0.944047
6b	Structural noncontact	0.999258
6b	Structural noncontact	0.000813
6b	Structural noncontact	0.021026
6b	Structural noncontact	0.981637
6b	Structural noncontact	0.986401
6b	Structural noncontact	0.997005
6b	Structural noncontact	0.992219
6b	Structural noncontact	0.999632
6b	Structural noncontact	0.999938
6b	Structural noncontact	0.999922
6b	Structural noncontact	0.998378
6b	Structural noncontact	0.99994
6b	Structural noncontact	0.896411
6b	Structural noncontact	0.999752
6b	Structural noncontact	0.995935
6b	Structural noncontact	0.999472
6b	Structural noncontact	0.999883
6b	Structural noncontact	0.998049
6b	Structural noncontact	0.999837
6b	Structural noncontact	0.000602
6b	Structural noncontact	0.994955
6b	Structural noncontact	0.999456
6b	Structural noncontact	0.000766
6b	Structural noncontact	0.998309
6b	Structural noncontact	0.999936
6b	Structural noncontact	0.00257
6b	Structural noncontact	0.999934
6b	Structural noncontact	0.999942
6b	Structural noncontact	0.828507
6b	Structural noncontact	0.999911
6b	Structural noncontact	0.999235
6b	Structural noncontact	0.983545
6b	Structural noncontact	0.998411
6b	Structural noncontact	0.999927
6b	Structural noncontact	0.000622
6b	Structural noncontact	0.999943
6b	Structural noncontact	0.995667
6b	Structural noncontact	0.988204
6b	Structural noncontact	0.000223
6b	Structural noncontact	0.992778
6b	Structural noncontact	0.999604
6b	Structural noncontact	0.994262
6b	Structural noncontact	0.999715
6b	Structural noncontact	8e-05
6b	Structural noncontact	0.999927
6b	Structural noncontact	0.733585
6b	Structural noncontact	0.998528
6b	Structural noncontact	0.999814
6b	Structural noncontact	0.999905
6b	Structural noncontact	0.964688
6b	Structural noncontact	0.999948
6b	Structural noncontact	0.999786
6b	Structural noncontact	0.999946
6b	Structural noncontact	0.575601
6b	Structural noncontact	0.995908
6b	Structural noncontact	0.017969
6b	Structural noncontact	0.996947
6b	Structural noncontact	0.117008
6b	Structural noncontact	0.000446
6b	Structural noncontact	0.999944
6b	Structural noncontact	0.99987
6b	Structural noncontact	0.151797
6b	Structural noncontact	0.999892
6b	Structural noncontact	0.999914
6b	Structural noncontact	0.996174
6b	Structural noncontact	0.999932
6b	Structural noncontact	0.00239
